Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
10/13/2025,6:00 PM,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,Darcy Kuemper,Jesper Wallstedt
10/13/2025,6:30 PM,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,Regulation,Vitek Vanecek,Spencer Knight
10/14/2025,5:00 PM,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,Regulation,Justus Annunen,Cayden Primeau
10/14/2025,5:00 PM,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,Joey Daccord,Sam Montembeault
10/14/2025,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Rangers,0,Regulation,Stuart Skinner,Igor Shesterkin
10/14/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,Andrei Vasilevskiy,Logan Thompson
10/14/2025,7:00 PM,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,Regulation,Adin Hill,Dustin Wolf
10/14/2025,7:30 PM,9:30 PM,Minnesota Wild,2,Dallas Stars,5,Regulation,Filip Gustavsson,Jake Oettinger
10/14/2025,8:00 PM,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,Regulation,Brandon Bussi,Alex Nedeljkovic
10/14/2025,8:30 PM,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,Regulation,Tristan Jarry,Lukas Dostal
10/15/2025,5:00 PM,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,Regulation,Leevi Meriläinen,Alex Lyon
10/15/2025,5:00 PM,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,Regulation,Sergei Bobrovsky,Cameron Talbot
10/15/2025,7:30 PM,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,Regulation,Arvid Soderblom,Joel Hofer
10/15/2025,7:30 PM,9:30 PM,Calgary Flames,1,Utah Mammoth,3,Regulation,Devin Cooley,Karel Vejmelka
10/16/2025,5:00 PM,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,Igor Shesterkin,Anthony Stolarz
10/16/2025,5:00 PM,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,Juuse Saros,Jakub Dobes
10/16/2025,5:00 PM,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,Philipp Grubauer,Linus Ullmark
10/16/2025,5:00 PM,7:00 PM,Florida Panthers,1,New Jersey Devils,3,Regulation,Daniil Tarasov,Jake Allen
