date,team,opponent,odds,grade,ev,units,result,profit
2025-10-27,VGK,TBL,122,A+,31.0%,N/A,LOSS,-1.00u
2025-10-27,UNDER 6,VGK,-124,A+,10.3%,N/A,WIN,0.87u
2025-10-28,OVER 6.5,CBJ,-105,B,4.0%,N/A,WIN,0.95u
2025-10-28,TOR,CGY,-182,B+,5.4%,N/A,WIN,0.55u
2025-10-28,OVER 5.5,CGY,-120,A,7.6%,N/A,WIN,0.83u
2025-10-28,DET,STL,-110,A,7.9%,N/A,WIN,0.91u
2025-10-28,SJS,LAK,178,A+,67.8%,N/A,LOSS,-1.00u
2025-10-28,OVER 5.5,MTL,-120,B+,5.9%,N/A,WIN,0.83u
2025-10-28,OVER 5.5,NYR,-122,A,9.7%,N/A,LOSS,-1.00u
2025-10-28,PIT,PHI,138,A+,16.0%,N/A,LOSS,-1.00u
2025-10-28,OVER 5.5,WPG,-122,B+,6.8%,N/A,WIN,0.82u
2025-10-28,OVER 5.5,WSH,-128,A,9.5%,N/A,LOSS,-1.00u
2025-10-29,ANA,FLA,160,A+,25.8%,N/A,WIN,1.60u
2025-10-29,UNDER 6,ANA,-112,A+,14.8%,N/A,WIN,0.89u
2025-10-29,UNDER 6.5,CBJ,-110,B+,6.0%,N/A,LOSS,-1.00u
2025-10-29,SEA,MTL,105,A+,23.1%,N/A,LOSS,-1.00u
2025-10-29,NJD,COL,135,A+,19.2%,N/A,LOSS,-1.00u
2025-10-29,UNDER 6,NJD,-128,A,9.6%,N/A,LOSS,-1.00u
2025-10-29,BOS,NYI,135,A+,12.8%,N/A,WIN,1.35u
2025-10-29,UNDER 6.5,NYI,-115,B+,5.1%,N/A,LOSS,-1.00u
2025-10-29,CHI,OTT,120,B+,5.1%,N/A,WIN,1.20u
2025-10-29,NSH,TBL,135,A+,10.1%,N/A,LOSS,-1.00u
2025-10-29,EDM,UTA,-146,B+,5.8%,N/A,WIN,0.68u
2025-10-29,UNDER 6,UTA,-130,A+,16.3%,N/A,LOSS,-1.00u
2025-10-29,VGK,CAR,125,A,8.6%,N/A,WIN,1.25u
2025-10-29,MIN,WPG,-105,A,8.9%,N/A,LOSS,-1.00u
2025-10-29,WSH,DAL,110,A+,19.7%,N/A,LOSS,-1.00u
2025-11-10,NSH,NYR,150,C,1.0%,N/A,LOSS,-1.00u
2025-11-13,DET,ANA,-130,C,1.3%,N/A,WIN,0.77u
2025-11-13,BUF,COL,300,A+,52.4%,N/A,LOSS,-1.00u
2025-11-13,EDM,CBJ,105,C,2.7%,N/A,LOSS,-1.00u
2025-11-13,TOR,LAK,115,A+,28.2%,N/A,LOSS,-1.00u
2025-11-13,SEA,WPG,120,A+,30.7%,N/A,WIN,1.20u
2025-11-13,FLA,WSH,-120,C,0.4%,N/A,WIN,0.83u
2025-11-30,CHI,ANA,108,B+,3.2%,0.007345206718610938,WIN,1.08u
2025-11-10,ANA,COL,220,A+,23.7%,N/A,LOSS,-1.00u
2025-11-05,ANA,DAL,150,A,9.5%,N/A,WIN,1.60u
2025-11-13,ANA,DET,122,A+,5.8%,0.011841036354176597,LOSS,-1.00u
2025-12-01,ANA,STL,130,A+,7.8%,0.014993965905995022,WIN,1.30u
2025-11-07,ANA,VGK,192,A+,11.1%,N/A,WIN,1.92u
2025-11-19,BOS,ANA,150,A+,5.0%,0.00837463120234235,LOSS,-1.00u
2025-12-02,BOS,DET,158,A+,10.1%,0.01604691147970656,LOSS,-1.00u
2025-11-21,BOS,LAK,158,A+,11.5%,0.01816094607847266,WIN,1.70u
2025-11-15,BOS,MTL,150,A+,11.4%,0.01897007538501903,WIN,1.50u
2025-11-04,BOS,NYI,140,A+,12.3%,N/A,WIN,1.40u
2025-11-23,SJS,BOS,116,A,3.6%,0.007854965069802714,WIN,1.16u
2025-11-07,TOR,BOS,-185,B,3.6%,N/A,LOSS,-1.00u
2025-10-30,UNDER 6,BUF,-115,A+,14.3%,N/A,LOSS,-1.00u
2025-11-07,BUF,CAR,225,A+,29.8%,N/A,LOSS,-1.00u
2025-11-15,BUF,DET,146,A,3.5%,0.006068950345213006,WIN,1.46u
2025-12-03,PHI,BUF,115,A,4.5%,0.009826203484176274,WIN,1.30u
2025-11-26,PIT,BUF,-115,A+,11.0%,0.031511852628090316,WIN,0.87u
2025-11-12,BUF,UTA,172,A+,6.6%,0.00955665814832415,LOSS,-1.00u
2025-12-05,BUF,WPG,120,A+,6.3%,0.013165683204518611,LOSS,-1.50u
2025-11-01,BOS,CAR,162,A+,7.0%,0.0107618491606573,WIN,1.58u
2025-11-23,BUF,CAR,160,A+,16.3%,0.025432251771021087,WIN,1.60u
2025-11-19,MIN,CAR,155,A+,5.8%,0.0094302210038482,WIN,1.55u
2025-11-04,NYR,CAR,110,A,8.6%,N/A,LOSS,-1.00u
2025-11-08,TOR,CAR,110,A,7.4%,N/A,LOSS,-1.00u
