date,team,opponent,odds,grade,ev,units,result,profit
2025-11-10,VAN,WPG,105,A+,15.6%,N/A,LOSS,-1.00u
2025-11-26,WPG,WSH,135,A+,9.8%,0.01805953335519318,LOSS,-1.00u
2025-12-05,ANA,WSH,120,B+,2.7%,0.005600430376808383,WIN,1.80u
2025-11-11,WSH,CAR,140,B+,5.3%,N/A,WIN,1.40u
2025-11-13,FLA,WSH,-120,B,4.0%,0.012095315850314451,WIN,0.83u
2025-11-20,WSH,MTL,125,A+,9.1%,0.018275287135339637,WIN,1.25u
2025-11-30,NYI,WSH,115,A,4.6%,0.009962419676595629,LOSS,-1.00u
2025-11-05,PIT,WSH,-105,A+,15.1%,N/A,WIN,0.95u
2025-12-03,SJS,WSH,135,A+,6.6%,0.01214740653857059,LOSS,-1.00u
2025-11-07,WSH,TBL,128,B,4.6%,N/A,LOSS,-1.00u
