i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
173,2026-07-07,MLB,ML,2026-07-07_MLB_sea_mia,Seattle Mariners,C,SHARP-PRIME,105,2.5,L,-2.5,63.9,67.4,0.17,4,3,1.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:69%,5b1e50:66%,70135d:65%,705ba1:59%,a0d6d2:60%"
174,2026-07-07,SOC,ML,2026-07-07_SOC_egy_arg,Argentina,C,SHARP-PRIME,-300,4,W,1.33,54.9,79.3,2.13,1,2,-3,Y,CUT,CUT,KEEP,KEEP,KEEP,CUT,"c29d59:100%,c911a4:59%,955c26:50%,78e8f1:43%,138d9b:23%"
175,2026-07-07,MLB,SPREAD,2026-07-07_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,-167,3,L,-3,62.5,62.5,0.93,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,CUT,"cd2f63:56%,4b912c:69%"
176,2026-07-07,MLB,TOTAL,2026-07-07_MLB_mil_stl_total,Over 7.5,C,SHARP-PRIME,-110,4,L,-4,73.3,73.3,2.52,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"7da3d5:67%,0cd77e:80%"
177,2026-07-08,MLB,ML,2026-07-08_MLB_cle_min,Cleveland Guardians,A,TOP,110,2.5,L,-2.5,53.8,53.8,-0.95,0,0,-15.4,Y,CUT,CUT,CUT,CUT,CUT,CUT,"4c64aa:58%,f2f960:50%"
178,2026-07-08,MLB,ML,2026-07-08_MLB_col_lad,Los Angeles Dodgers,A,TOP+,-255,5,W,1.96,81.3,81.3,11.29,1,1,31.3,Y,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,0cd77e:81%
179,2026-07-08,MLB,ML,2026-07-08_MLB_tor_sfg,San Francisco Giants,A,TOP,110,2.5,L,-2.5,65.5,65.6,2.68,4,3,9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:66%,5b1e50:66%,70135d:65%,9a69c2:65%"
180,2026-07-08,MLB,SPREAD,2026-07-08_MLB_col_lad_spread,Colorado Rockies,A,TOP,110,2.5,W,2.75,56.4,56.4,-0.65,1,1,,N,CUT,CUT,CUT,CUT,CUT,CUT,"f2f960:50%,8ec926:63%"
181,2026-07-08,MLB,TOTAL,2026-07-08_MLB_chc_bal_total,Over 9.5,B,RANK,-114,4,W,3.51,62.5,74,6.29,2,2,-0.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"aa9fb4:67%,f2f960:50%,a10ff5:52%,0cd77e:81%"
182,2026-07-08,MLB,TOTAL,2026-07-08_MLB_col_lad_total,Under 10,B,RANK,-104,4,W,3.85,65.6,65.6,1.75,3,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:66%,5b1e50:66%,70135d:65%"
183,2026-07-08,MLB,SPREAD,2026-07-08_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,162,1.5,W,2.43,62.5,65.6,0.94,2,1,,N,KEEP,KEEP,KEEP,KEEP,CUT,KEEP,"cd2f63:56%,4b912c:66%,5b1e50:66%"
184,2026-07-08,MLB,SPREAD,2026-07-08_MLB_oak_det_spread,Detroit Tigers,C,SHARP,139,2.5,W,3.47,65.6,65.6,4.33,1,1,-0.1,Y,KEEP,CUT,KEEP,KEEP,CUT,CUT,"f2f960:50%,0cd77e:81%"
185,2026-07-09,MLB,ML,2026-07-09_MLB_ari_sdp,Arizona Diamondbacks,A,MINI,110,2.5,W,2.75,71.3,71.3,3.83,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,0cd77e:72%"
186,2026-07-09,MLB,ML,2026-07-09_MLB_col_sfg,San Francisco Giants,A,MINI-,-132,1,W,0.76,59.5,59.5,-0.12,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,f2f960:60%
187,2026-07-09,SOC,ML,2026-07-09_SOC_mar_fra,France,A,SUPER,-170,6,W,3.53,45.3,63.9,-2.72,1,2,-5.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"8366f5:37%,348973:71%,de3f67:56%,fea6f5:40%,7a4cdf:27%,a190ea:50%,8da2ca:36%"
188,2026-07-09,MLB,TOTAL,2026-07-09_MLB_chc_bal_total,Over 9.5,A,TOP,100,2.5,L,-2.5,64,65.6,1.38,3,3,7.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:60%,4b912c:65%,5b1e50:66%,70135d:65%"
189,2026-07-09,MLB,TOTAL,2026-07-09_MLB_mil_stl_total,Over 8.5,A,TOP+,-102,5,W,4.9,72.4,72.4,5.76,1,1,14.8,Y,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,0cd77e:72%
190,2026-07-09,MLB,SPREAD,2026-07-09_MLB_phi_cin_spread,Philadelphia Phillies,B,RANK,-105,4,L,-4,61,61,1.64,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,CUT,"cd2f63:56%,70135d:65%"
