i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
41,2026-06-24,MLB,TOTAL,2026-06-24_MLB_phi_wsh_total,Over 9.5,A,MINI,-110,3,L,-3,50.7,50.7,-0.4,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
42,2026-06-24,MLB,ML,2026-06-24_MLB_bos_col,Colorado Rockies,B,RANK,145,2.5,W,3.63,65.1,65.1,3.53,1,2,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,"4c64aa:59%,ad88a3:71%"
43,2026-06-24,MLB,TOTAL,2026-06-24_MLB_bos_col_total,Over 10.5,B,RANK,-110,4,W,3.64,65.9,73.5,2.1,3,3,-6.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:52%,bc35e3:78%,8ec926:65%,5b1e50:69%"
44,2026-06-24,MLB,TOTAL,2026-06-24_MLB_sea_pit_total,Under 7.5,B,RANK,-109,4,L,-4,63.6,70.9,2.79,3,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"779ef0:66%,cdb33b:76%,1e8f33:51%,b51a56:62%"
45,2026-06-25,SOC,ML,2026-06-25_SOC_ger_ecu,Germany,A,CONFIRMED,-155,1,L,-1,61.3,83.7,1,7,7,-16.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2d2ca8:76%,84b2f4:40%,43020b:79%,95eb4c:89%,fea6f5:25%,946418:64%,0f9d74:69%,2f2a9e:51%,5b1e50:69%,c2aeea:60%,c668b3:60%,c911a4:59%,cd2f63:56%"
46,2026-06-25,SOC,ML,2026-06-25_SOC_ned_tun,Netherlands,A,TOP,-750,4,W,0.53,61.7,71.5,2.75,3,2,17.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"11381f:74%,c9bba3:50%,2f2a9e:51%,0f9d74:69%,946418:64%"
47,2026-06-25,SOC,ML,2026-06-25_SOC_usa_tur,United States,B,RANK,105,2.5,L,-2.5,66.5,83.7,2,5,5,26.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:69%,2f2a9e:51%,95eb4c:89%,43020b:79%,c2aeea:60%,5b1e50:69%,57be17:49%"
48,2026-06-25,MLB,SPREAD,2026-06-25_MLB_nyy_bos_spread,New York Yankees,B,RANK,114,2.5,L,-2.5,59.9,59.9,1.8,1,1,-17.9,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:51%,5b1e50:69%"
49,2026-06-25,MLB,TOTAL,2026-06-25_MLB_hou_det_total,Under 9.5,B,RANK,-110,4,W,3.64,59.9,59.9,1.8,1,1,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:51%,5b1e50:69%"
50,2026-06-26,SOC,ML,2026-06-26_SOC_esp_uru,Spain,A,SUPER,-145,6,W,4.14,63.3,75.6,0.47,8,6,5.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"12c933:67%,06c80c:36%,bc44b0:69%,af1697:74%,2f2a9e:50%,95eb4c:73%,fec67e:65%,bc35e3:77%,0f9d74:68%,7b4652:54%,c668b3:59%,5b1e50:67%"
51,2026-06-26,SOC,ML,2026-06-26_SOC_irn_egy,Egypt,A,SUPER,170,1.5,L,-1.5,71.8,82.6,3.23,2,2,6.2,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:50%,de3f67:65%,99059d:100%"
52,2026-06-26,MLB,SPREAD,2026-06-26_MLB_phi_nym_spread,Philadelphia Phillies,A,TOP+,110,2.5,L,-2.5,48.3,59.2,-0.14,1,1,-19.9,Y,CUT,CUT,CUT,CUT,CUT,CUT,"eeabaf:68%,1e8f33:50%,ab39ae:27%"
53,2026-06-26,MLB,TOTAL,2026-06-26_MLB_chc_mil_total,Under 7.5,A,TOP,-110,4,L,-4,68.3,68.3,3.41,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,eeabaf:68%
54,2026-06-26,MLB,ML,2026-06-26_MLB_atl_sfg,Atlanta Braves,B,RANK,-120,4,W,3.33,53.8,53.8,0.44,0,0,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:50%,4c64aa:57%"
55,2026-06-26,SOC,ML,2026-06-26_SOC_bel_nzl,Belgium,B,RANK,-500,4,W,0.8,68.2,68.2,1.58,2,2,17.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:69%,5b1e50:67%"
56,2026-06-26,SOC,ML,2026-06-26_SOC_fra_nor,France,B,RANK,-250,4,W,1.6,52.1,68.8,-1.19,3,4,,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:69%,2f2a9e:50%,8366f5:38%,0f9d74:68%,6c78fd:24%,c668b3:59%,7a4cdf:38%,a10ff5:56%,5b1e50:67%"
57,2026-06-26,SOC,ML,2026-06-26_SOC_ksa_cpv,Cabo Verde,C,SHARP-PRIME,175,1.5,L,-1.5,65.1,65.1,-0.96,2,1,0.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,KEEP,"12c933:67%,e70853:63%"
58,2026-06-27,MLB,ML,2026-06-27_MLB_kcr_cws,Kansas City Royals,A,MINI-,114,1,L,-1,67.6,68.7,2.22,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,eeabaf:67%,5b1e50:65%"
59,2026-06-27,SOC,ML,2026-06-27_SOC_arg_jor,Argentina,A,TOP,-525,4,W,0.76,62.8,69.6,1.99,2,2,-2.4,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:49%,2d2ca8:74%,5b1e50:65%"
60,2026-06-27,SOC,ML,2026-06-27_SOC_eng_pan,England,A,TOP+,-625,5,W,0.8,53.1,63.9,-2.42,2,1,2.2,Y,CUT,KEEP,CUT,CUT,CUT,CUT,"2f2a9e:49%,946418:63%,7b4652:55%,7a4cdf:33%,5b1e50:65%"
61,2026-06-27,SOC,ML,2026-06-27_SOC_uzb_cod,DR Congo,A,TOP+,-150,5,W,3.33,57.9,62.3,0.97,1,1,39.8,Y,CUT,CUT,CUT,CUT,CUT,CUT,"bc44b0:70%,2f2a9e:49%,a10ff5:55%"
62,2026-06-27,MLB,ML,2026-06-27_MLB_cin_pit,Cincinnati Reds,B,RANK,-110,4,W,3.64,60.6,66.4,1.87,2,3,-39.4,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"1e8f33:50%,c2aeea:59%,70135d:65%,eeabaf:67%"
63,2026-06-27,MLB,ML,2026-06-27_MLB_tex_tor,Toronto Blue Jays,B,RANK,-184,4,L,-4,64.2,67.9,2.86,2,2,-3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:57%,ad88a3:70%,5b1e50:65%"
64,2026-06-27,MLB,SPREAD,2026-06-27_MLB_mia_stl_spread,Miami Marlins,B,RANK,-175,4,W,2.29,60.2,60.2,0.4,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,CUT,"f2d227:55%,70135d:65%"
65,2026-06-27,MLB,TOTAL,2026-06-27_MLB_hou_det_total,Under 8.5,B,RANK,-107,4,L,-4,69.9,74.3,3.87,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"5b1e50:65%,70135d:65%,9a69c2:71%,bc35e3:77%"
66,2026-06-27,MLB,ML,2026-06-27_MLB_chc_mil,Milwaukee Brewers,C,SHARP,-150,3,L,-3,57.8,57.8,0.72,1,1,-14.2,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"1e8f33:50%,5b1e50:65%"
67,2026-06-27,MLB,ML,2026-06-27_MLB_oak_laa,Athletics,C,SHARP-PRIME,-104,4,L,-4,45.6,45.6,-1.86,0,0,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"4c64aa:57%,95618e:34%"
68,2026-06-27,MLB,ML,2026-06-27_MLB_phi_nym,New York Mets,C,SHARP-PRIME,-123,4,W,3.25,79.1,85,10.13,3,2,13.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,0f9d74:67%,daf4de:100%"
69,2026-06-27,SOC,ML,2026-06-27_SOC_gha_cro,Croatia,C,SHARP,-120,3,W,2.5,58,65.3,1.5,2,2,9.4,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"491f30:45%,eeabaf:67%,c668b3:59%,a10ff5:55%,7f00bc:63%"
70,2026-06-28,MLB,ML,2026-06-28_MLB_oak_laa,Athletics,A,TOP+,-108,5,L,-5,60.2,66.1,2.36,2,2,-10.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:48%,ad88a3:68%,5b1e50:64%"
71,2026-06-28,SOC,ML,2026-06-28_SOC_can_rsa,Canada,A,CONFIRMED,-145,1,W,0.69,59.7,78.4,-0.44,12,7,11.2,Y,CUT,KEEP,KEEP,CUT,CUT,KEEP,"bd2d54:50%,bc44b0:71%,af1697:75%,388d4c:21%,63fc82:61%,e3dcd3:70%,8366f5:37%,5dc83b:63%,bc35e3:78%,0f9d74:67%,eeabaf:67%,348973:79%,2d2ca8:71%,c668b3:59%,7a4cdf:30%,cad739:40%,99059d:71%,5b1e50:64%"
72,2026-06-28,MLB,SPREAD,2026-06-28_MLB_lad_sdp_spread,San Diego Padres,A,MINI,-142,3,L,-3,50.5,50.5,-0.06,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
73,2026-06-28,MLB,TOTAL,2026-06-28_MLB_atl_sfg_total,Under 7.5,A,MINI-,-104,1,W,0.96,68.1,71.7,2.27,3,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"f9e3d0:79%,b51a56:61%,5b1e50:64%"
74,2026-06-28,MLB,TOTAL,2026-06-28_MLB_chc_mil_total,Under 8.5,A,TOP,-110,4,W,3.64,56.4,56.4,0.43,1,1,,N,CUT,CUT,CUT,CUT,CUT,CUT,"2f2a9e:48%,5b1e50:64%"
75,2026-06-28,MLB,ML,2026-06-28_MLB_tex_tor,Texas Rangers,B,RANK,110,2.5,W,2.75,65.4,65.4,2.1,2,2,-0.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"5b1e50:64%,eeabaf:67%"
76,2026-06-28,MLB,SPREAD,2026-06-28_MLB_mia_stl_spread,Miami Marlins,B,RANK,-190,4,W,2.11,60,60,0.39,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,CUT,"70135d:65%,f2d227:54%"
77,2026-06-28,MLB,TOTAL,2026-06-28_MLB_cin_pit_total,Under 9.5,B,RANK,100,2.5,L,-2.5,56.4,56.4,0.43,1,1,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:48%,5b1e50:64%"
78,2026-06-28,MLB,TOTAL,2026-06-28_MLB_nyy_bos_total,Under 8,B,RANK,-108,4,L,-4,62.7,65.8,0.4,1,1,-5.6,Y,KEEP,CUT,KEEP,KEEP,CUT,CUT,"7923c4:72%,10c684:56%,c668b3:59%"
79,2026-06-29,SOC,ML,2026-06-29_SOC_par_ger,Germany,A,TOP+,-295,5,L,-5,57.9,73.1,-0.78,4,3,17,Y,CUT,KEEP,KEEP,CUT,CUT,KEEP,"8da2ca:25%,af1697:75%,1e8f33:51%,2f2a9e:48%,5b1e50:64%,99059d:71%,bc44b0:71%,c911a4:58%"
80,2026-06-29,MLB,TOTAL,2026-06-29_MLB_mia_col_total,Over 11.5,A,MINI,-114,3,W,2.63,61.4,68,1.12,2,2,-16.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"7923c4:72%,a10ff5:54%,cd2f63:56%,5b1e50:64%"
81,2026-06-29,MLB,ML,2026-06-29_MLB_sfg_ari,Arizona Diamondbacks,B,RANK,-131,4,W,3.05,56.5,56.5,1.42,1,1,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"b839b3:49%,5b1e50:64%"
82,2026-06-29,SOC,ML,2026-06-29_SOC_jpn_bra,Brazil,C,SHARP-PRIME,-130,4,W,3.08,52.4,69.4,-1.35,5,3,4.2,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"12c933:54%,7703d4:64%,2f2a9e:48%,fec67e:66%,0f9d74:67%,eeabaf:67%,c668b3:59%,fea6f5:23%,7a4cdf:32%,a10ff5:54%,99059d:71%,8da2ca:25%"
83,2026-06-29,MLB,TOTAL,2026-06-29_MLB_sdp_chc_total,Under 11.5,C,SHARP-PRIME,-110,4,W,3.64,66.1,72.4,3.12,2,2,0.6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:78%,a10ff5:54%,ad88a3:67%"
84,2026-06-30,MLB,ML,2026-06-30_MLB_laa_sea,Los Angeles Angels,A,MINI,158,1.5,L,-1.5,57.5,71.2,0.89,2,2,,N,CUT,KEEP,KEEP,CUT,CUT,KEEP,"ac9705:30%,70135d:65%,f9e3d0:77%"
85,2026-06-30,MLB,ML,2026-06-30_MLB_mia_col,Miami Marlins,A,TOP,-135,4,W,2.96,77.4,83.9,2.25,3,2,22.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:68%,a82a75:100%,5b1e50:64%"
86,2026-06-30,MLB,ML,2026-06-30_MLB_min_hou,Minnesota Twins,A,MINI,-110,3,L,-3,50.5,50.5,-0.23,0,0,-17.3,Y,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
87,2026-06-30,MLB,ML,2026-06-30_MLB_wsh_bos,Washington Nationals,A,TOP+,117,2.5,W,2.93,61.4,69.8,0.49,5,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"12ad50:72%,ac9705:30%,0f9d74:68%,eeabaf:67%,4b912c:68%,5b1e50:64%"
88,2026-06-30,SOC,ML,2026-06-30_SOC_ecu_mex,Mexico,A,TOP,125,2.5,W,3.13,50.9,68.8,-0.95,2,3,13.6,Y,CUT,KEEP,KEEP,CUT,CUT,KEEP,"cd2f63:56%,8bbab3:0%,c2aeea:59%,348973:73%,2f2a9e:49%,5b1e50:64%,95eb4c:47%,c911a4:58%"
89,2026-06-30,SOC,ML,2026-06-30_SOC_swe_fra,France,A,CONFIRMED,-350,1,W,0.29,47.8,55.8,-1.06,0,0,4.6,Y,CUT,CUT,CUT,CUT,CUT,CUT,"12c933:53%,c9bba3:54%,2f2a9e:49%,2d024e:50%,c668b3:58%,fea6f5:23%"
90,2026-06-30,MLB,TOTAL,2026-06-30_MLB_cws_bal_total,Over 10.5,A,TOP,-110,4,W,3.64,77.4,83.9,2.25,3,2,-0.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"4b912c:68%,a82a75:100%,5b1e50:64%"
91,2026-06-30,MLB,TOTAL,2026-06-30_MLB_det_nyy_total,Under 7.5,A,TOP+,-102,5,L,-5,60.4,66.4,1.74,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:49%,5b1e50:64%,70135d:65%,ad88a3:67%,cd2f63:56%"
92,2026-06-30,MLB,TOTAL,2026-06-30_MLB_pit_phi_total,Under 8.5,A,MINI-,-112,1,W,0.89,60.4,66.2,0.2,2,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:49%,4b912c:68%,5b1e50:64%"
93,2026-06-30,MLB,TOTAL,2026-06-30_MLB_sdp_chc_total,Over 11.5,A,TOP+,-112,5,W,4.46,62.3,66.2,0.61,2,1,-8.4,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"a10ff5:55%,4b912c:68%,5b1e50:64%"
94,2026-06-30,MLB,TOTAL,2026-06-30_MLB_stl_atl_total,Over 9.5,A,TOP+,-110,5,L,-5,52.8,64.1,-1.27,2,0,-11,Y,CUT,KEEP,CUT,CUT,CUT,CUT,"ac9705:30%,b51a56:60%,4b912c:68%"
95,2026-06-30,MLB,TOTAL,2026-06-30_MLB_tex_cle_total,Under 7.5,A,MINI,103,2.5,W,2.58,60.2,66.2,0.19,2,1,-10.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"c668b3:58%,1e8f33:51%,4b912c:68%,5b1e50:64%"
96,2026-06-30,MLB,ML,2026-06-30_MLB_cws_bal,Chicago White Sox,B,RANK,125,2.5,W,3.13,57.4,57.4,0.23,1,0,-8.1,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"1e8f33:51%,7703d4:64%"
97,2026-06-30,MLB,ML,2026-06-30_MLB_tex_cle,Cleveland Guardians,B,RANK,110,2.5,L,-2.5,65.9,65.9,0.85,2,0,,N,KEEP,KEEP,KEEP,KEEP,CUT,KEEP,"7703d4:64%,0f9d74:68%"
98,2026-06-30,SOC,ML,2026-06-30_SOC_nor_civ,Norway,B,RANK,115,2.5,W,2.88,59,71.1,1.48,4,3,35.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"06c80c:40%,af1697:75%,cd2f63:56%,0f9d74:68%,2f2a9e:49%,5b1e50:64%,a10ff5:55%,c911a4:58%,eeabaf:67%"
99,2026-06-30,MLB,SPREAD,2026-06-30_MLB_stl_atl_spread,St. Louis Cardinals,B,RANK,-163,4,W,2.45,62.6,66.2,0.09,3,2,-7.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"f2d227:55%,8ec926:63%,4b912c:68%,5b1e50:64%"
100,2026-06-30,MLB,ML,2026-06-30_MLB_tbr_kcr,Tampa Bay Rays,C,SHARP,-112,3,W,2.68,71.6,88.8,2.53,4,4,16.4,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:51%,a82a75:100%,5b1e50:64%,70135d:65%,bc35e3:78%"
101,2026-07-01,MLB,ML,2026-07-01_MLB_cin_mil,Milwaukee Brewers,A,SUPER,-162,6,W,3.7,68.7,88.7,2.95,6,6,0.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"9a69c2:70%,a82a75:100%,ac9705:44%,4b912c:70%,5b1e50:65%,70135d:65%,bc35e3:77%,cd2f63:56%"
102,2026-07-01,MLB,ML,2026-07-01_MLB_det_nyy,New York Yankees,A,TOP+,-134,5,L,-5,56.6,66.5,0.06,2,2,,N,CUT,KEEP,KEEP,CUT,CUT,KEEP,"2f2a9e:49%,ac9705:44%,0f9d74:68%,5b1e50:65%"
103,2026-07-01,MLB,SPREAD,2026-07-01_MLB_pit_phi_spread,Pittsburgh Pirates,A,TOP+,-180,5,L,-5,67.9,67.9,1.79,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:70%,5b1e50:65%"
104,2026-07-01,MLB,TOTAL,2026-07-01_MLB_cin_mil_total,Under 8.5,A,SUPER,106,2.5,W,2.65,54.9,54.9,-0.12,1,1,0.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"ac9705:44%,5b1e50:65%"
105,2026-07-01,MLB,TOTAL,2026-07-01_MLB_lad_oak_total,Under 9.5,A,MINI-,-110,1,W,0.91,65.3,65.3,1.47,1,1,12.8,Y,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,5b1e50:65%
106,2026-07-01,MLB,TOTAL,2026-07-01_MLB_sdp_chc_total,Under 11.5,A,TOP,-105,4,L,-4,65.3,65.3,1.47,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,5b1e50:65%
107,2026-07-01,MLB,ML,2026-07-01_MLB_min_hou,Minnesota Twins,B,RANK,122,2.5,W,3.05,59,67.9,0.51,2,2,,N,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:44%,4b912c:70%,5b1e50:65%,cd2f63:56%"
108,2026-07-01,MLB,TOTAL,2026-07-01_MLB_wsh_bos_total,Under 9.5,B,RANK,-103,4,L,-4,56.8,60.7,0.82,1,1,,N,CUT,CUT,CUT,KEEP,CUT,CUT,"cd2f63:56%,2f2a9e:49%,70135d:65%"
109,2026-07-01,MLB,ML,2026-07-01_MLB_pit_phi,Pittsburgh Pirates,C,SHARP,124,2.5,L,-2.5,69,73.9,2.82,6,6,18.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:77%,9a69c2:70%,0f9d74:68%,8ec926:63%,4b912c:70%,5b1e50:65%"
110,2026-07-01,MLB,ML,2026-07-01_MLB_tex_cle,Texas Rangers,C,SHARP,106,2.5,L,-2.5,60.4,70.4,1.77,4,4,-26.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"9a69c2:70%,1e8f33:51%,cd2f63:56%,ac9705:44%,4b912c:70%,5b1e50:65%,70135d:65%"
111,2026-07-01,SOC,ML,2026-07-01_SOC_sen_bel,Draw,C,SHARP,230,1,W,2.3,23.1,23.1,-2.99,0,0,-34.1,Y,CUT,CUT,CUT,KEEP,CUT,CUT,fea6f5:23%
112,2026-07-01,MLB,SPREAD,2026-07-01_MLB_lad_oak_spread,Los Angeles Dodgers,C,SHARP,-107,3,L,-3,58.4,65.4,0.87,2,2,-26.8,Y,CUT,KEEP,KEEP,KEEP,KEEP,CUT,"ac9705:44%,5b1e50:65%,70135d:65%"
113,2026-07-02,MLB,ML,2026-07-02_MLB_det_tex,Detroit Tigers,A,MINI-,-108,1,L,-1,65.7,65.7,2.95,1,1,-2.7,Y,KEEP,CUT,KEEP,KEEP,KEEP,CUT,eeabaf:66%
114,2026-07-02,MLB,ML,2026-07-02_MLB_pit_phi,Pittsburgh Pirates,A,TOP,115,2.5,W,2.88,71.1,71.1,2.94,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,4b912c:71%
115,2026-07-02,MLB,ML,2026-07-02_MLB_tbr_kcr,Tampa Bay Rays,A,TOP+,-120,5,W,4.17,57.8,60.9,0.51,1,1,-8.9,Y,CUT,CUT,CUT,CUT,CUT,CUT,"cd2f63:56%,1e8f33:52%,5b1e50:66%"
116,2026-07-02,MLB,SPREAD,2026-07-02_MLB_cin_mil_spread,Cincinnati Reds,A,TOP,-140,4,W,2.86,65.8,65.8,1.77,1,1,15.8,Y,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
117,2026-07-02,MLB,TOTAL,2026-07-02_MLB_det_tex_total,Under 7.5,A,SUPER,-116,6,L,-6,62.3,71.8,2.3,4,4,-33.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,9a69c2:72%,ac9705:56%,cd2f63:56%,4b912c:71%,5b1e50:66%,70135d:65%"
118,2026-07-02,MLB,ML,2026-07-02_MLB_mia_col,Miami Marlins,B,RANK,-135,4,L,-4,54.6,57,0.08,1,1,,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:50%,1e8f33:52%,8ec926:63%"
119,2026-07-02,MLB,TOTAL,2026-07-02_MLB_cin_mil_total,Under 6.5,B,RANK,-103,4,L,-4,76.1,85.9,5.99,4,4,24.2,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"779ef0:67%,eeabaf:66%,cdb33b:76%,a82a75:95%"
120,2026-07-02,MLB,TOTAL,2026-07-02_MLB_pit_phi_total,Over 9.5,B,RANK,-110,4,L,-4,58.7,66,1.47,2,2,,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,2f2a9e:50%,ac9705:56%,ad88a3:62%,cd2f63:56%"
121,2026-07-02,MLB,ML,2026-07-02_MLB_cin_mil,Milwaukee Brewers,C,SHARP,-190,3,L,-3,52.3,52.3,1.85,1,1,-11.5,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"eeabaf:66%,ab39ae:39%"
122,2026-07-02,SOC,ML,2026-07-02_SOC_alg_sui,Switzerland,C,SHARP,100,2.5,W,2.5,63.8,75,3.17,3,4,11.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"9a69c2:72%,cd2f63:56%,0f9d74:68%,b839b3:50%,bc35e3:78%,c911a4:58%"
123,2026-07-02,MLB,TOTAL,2026-07-02_MLB_laa_sea_total,Under 7.5,C,SHARP,108,2.5,W,2.7,59.2,65.6,1.43,2,2,-12.6,Y,CUT,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,cd2f63:56%,70135d:65%,eeabaf:66%"
124,2026-07-03,MLB,ML,2026-07-03_MLB_mil_ari,Milwaukee Brewers,A,MINI-,-146,1,W,0.68,62.8,69,1.53,2,2,-3.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,4b912c:72%,5b1e50:66%"
125,2026-07-03,MLB,ML,2026-07-03_MLB_pit_wsh,Washington Nationals,A,TOP+,-148,5,W,3.38,56.7,59.1,2.24,1,1,-10.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"4c64aa:56%,b839b3:52%,ad88a3:62%"
126,2026-07-03,MLB,ML,2026-07-03_MLB_tbr_hou,Tampa Bay Rays,A,TOP+,-108,5,W,4.63,61.5,69.6,2.26,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:52%,ac9705:63%,2f2a9e:50%,5b1e50:66%,70135d:65%,9a69c2:73%"
127,2026-07-03,SOC,ML,2026-07-03_SOC_cpv_arg,Argentina,A,CONFIRMED,-650,1,L,-1,67.4,84,0.95,4,5,26.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"c9bba3:56%,0f9d74:68%,daf4de:46%,4b912c:72%,a82a75:96%,5b1e50:66%"
128,2026-07-03,SOC,ML,2026-07-03_SOC_gha_col,Colombia,A,SUPER,-235,6,W,2.55,60.1,66.4,1.92,4,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4edc5b:64%,946418:67%,7da3d5:64%,fea6f5:41%,c911a4:59%,5b1e50:66%"
129,2026-07-03,MLB,TOTAL,2026-07-03_MLB_bal_cin_total,Under 9.5,A,TOP+,-110,5,W,4.55,67.2,67.2,2.18,2,2,14.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:63%,4b912c:72%"
130,2026-07-03,MLB,TOTAL,2026-07-03_MLB_cws_cle_total,Under 8.5,A,TOP+,-110,5,W,4.55,65.8,73.9,2.44,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,7da3d5:64%,1e8f33:52%,f9e3d0:78%"
131,2026-07-03,MLB,TOTAL,2026-07-03_MLB_sfg_col_total,Under 11.5,A,TOP+,-110,5,L,-5,51.7,51.7,-0.38,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:52%
132,2026-07-03,MLB,TOTAL,2026-07-03_MLB_mil_ari_total,Over 9.5,B,RANK,-111,4,W,3.6,65.8,65.8,2.33,2,2,9.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"5b1e50:66%,70135d:65%"
133,2026-07-03,MLB,TOTAL,2026-07-03_MLB_tbr_hou_total,Under 9,B,RANK,-109,4,W,3.67,80.8,80.8,6.02,2,2,24.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"a82a75:96%,70135d:65%"
134,2026-07-03,SOC,ML,2026-07-03_SOC_egy_aus,Egypt,C,SHARP,140,2.5,L,-2.5,56.8,60.3,2.61,1,2,-1.9,Y,CUT,CUT,CUT,KEEP,KEEP,CUT,"2f2a9e:50%,de3f67:62%,c911a4:59%,cd2f63:56%"
135,2026-07-03,MLB,SPREAD,2026-07-03_MLB_min_nyy_spread,Minnesota Twins,C,SHARP,-106,3,L,-3,61.7,61.7,1.29,1,1,-3.2,Y,KEEP,CUT,CUT,KEEP,CUT,CUT,"1e8f33:52%,4b912c:72%"
