date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-05,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,LOSS,83.06,66.79,14,"bbd49f:88%,bc35e3:79%"
2026-06-06,MLB,ML,"Cincinnati Reds @ St. Louis Cardinals",home,PREMIUM,3,1,WIN,60.66,47.42,5,"c2aeea:61%,4c64aa:61%"
2026-06-06,MLB,ML,"Chicago White Sox @ Philadelphia Phillies",home,LEAN,0.5,1,LOSS,71.44,67.43,5,"913987:72%,0f9d74:71%"
2026-06-06,MLB,ML,"Los Angeles Angels @ Los Angeles Dodgers",home,PREMIUM,3,1,WIN,60.66,57.1,3,"c2aeea:61%,4c64aa:61%"
2026-06-06,MLB,ML,"Athletics @ Houston Astros",home,ELITE,5,1,WIN,64.28,64.28,2,"eeabaf:68%,c2aeea:61%"
2026-06-06,MLB,ML,"Seattle Mariners @ Detroit Tigers",home,ELITE,2.5,1,LOSS,69.33,65.03,5,"913987:72%,40d814:67%"
2026-06-06,MLB,ML,"Washington Nationals @ Arizona Diamondbacks",home,ELITE,5,1,LOSS,71.44,63.36,4,"913987:72%,0f9d74:71%"
2026-06-07,MLB,ML,"Baltimore Orioles @ Toronto Blue Jays",home,PREMIUM,3,1,WIN,63.35,63.35,2,"eeabaf:68%,4c64aa:59%"
2026-06-07,MLB,ML,"Cincinnati Reds @ St. Louis Cardinals",home,ELITE,5,1,WIN,55.86,43.3,3,"1e8f33:66%,f2d227:46%"
2026-06-07,MLB,ML,"Cleveland Guardians @ Texas Rangers",home,LOCK,1,1,WIN,64.18,61.85,4,"bc3532:66%,dcafd2:62%"
2026-06-07,MLB,ML,"Chicago White Sox @ Philadelphia Phillies",home,PREMIUM,3,1,WIN,68.8,57.19,6,"0f9d74:70%,eeabaf:68%"
2026-06-07,MLB,ML,"Kansas City Royals @ Minnesota Twins",away,WEAK,0.25,1,WIN,70.63,66.74,3,"913987:74%,eeabaf:68%"
2026-06-07,MLB,ML,"Los Angeles Angels @ Los Angeles Dodgers",home,WEAK,0.25,1,LOSS,63.27,60.69,4,"70135d:66%,c2aeea:60%"
2026-06-07,MLB,ML,"Milwaukee Brewers @ Colorado Rockies",home,LEAN,0.5,1,LOSS,63.36,63.36,2,"12ad50:68%,4c64aa:59%"
2026-06-07,MLB,ML,"Athletics @ Houston Astros",home,LOCK,1,1,LOSS,58.97,58.97,1,"4c64aa:59%"
2026-06-07,MLB,ML,"Seattle Mariners @ Detroit Tigers",home,LEAN,0.5,1,WIN,67.89,63.78,3,"7923c4:74%,dcafd2:62%"
2026-06-07,MLB,ML,"San Francisco Giants @ Chicago Cubs",away,WEAK,0.25,1,WIN,77.43,77.43,2,"ad88a3:78%,972768:77%"
