team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2025,VAN,VAN,Team Level,other,50,0.37,0.49,0.45,8344.0,104.55,17.77,8.57,20.26,3.92,61.52,32.96,15.23,17.77,15.23,97.0,48.0,67.0,212.0,12.0,16.0,0.0,19.0,0.0,55.0,43.0,85.0,133.0,6.0,12.0,81.0,19.0,7.0,21.0,84.0,34.0,27.0,2.9,4.17,10.71,3.0,4.0,5.0,212.0,145.0,145.0,10.0,2.48,3.63,3.63,16.61,16.61,14.62,127.34,29.75,9.14,23.75,4.82,66.3,42.25,27.76,29.75,27.76,104.0,72.0,46.0,222.0,31.0,15.0,4.0,18.0,0.0,60.0,52.0,73.0,145.0,7.0,14.0,101.0,17.0,15.0,24.0,88.0,40.0,48.0,3.29,4.99,21.47,2.0,7.0,22.0,222.0,176.0,176.0,15.0,2.59,3.04,3.04,29.3,29.3,27.85
VAN,2025,VAN,VAN,Team Level,all,50,0.46,0.49,0.49,182757.0,1587.47,151.25,112.69,382.75,53.87,855.9,612.55,142.07,150.17,141.08,1348.0,821.0,798.0,2967.0,129.0,208.0,16.0,291.0,0.0,779.0,762.0,1219.0,2040.0,183.0,384.0,1335.0,1067.0,213.0,766.0,1649.0,343.0,177.0,47.29,44.1,59.85,43.0,41.0,45.0,2926.67,2169.0,2146.06,344.0,25.47,40.91,40.91,135.8,135.07,130.55,1701.7,179.79,119.8,404.24,57.18,898.79,637.19,170.71,180.71,171.65,1501.0,796.0,760.0,3057.0,182.0,200.0,25.0,301.0,0.0,817.0,797.0,1319.0,2115.0,184.0,391.0,1432.0,944.0,221.0,729.0,1631.0,462.0,204.0,50.35,58.1,71.34,61.0,61.0,60.0,3088.52,2297.0,2319.27,310.0,26.87,38.01,38.01,168.64,169.57,164.44
VAN,2025,VAN,VAN,Team Level,5on5,50,0.46,0.48,0.48,145909.0,1187.33,95.95,78.01,300.95,40.11,638.2,474.79,92.08,94.87,91.08,995.0,633.0,624.0,2252.0,82.0,146.0,10.0,220.0,0.0,577.0,603.0,913.0,1546.0,162.0,342.0,1000.0,992.0,183.0,677.0,1276.0,255.0,97.0,37.12,33.26,25.57,36.0,31.0,15.0,2211.67,1628.0,1605.06,312.0,16.2,26.46,26.46,85.69,84.96,83.34,1306.12,111.87,87.37,325.78,43.21,695.12,506.66,106.91,112.8,107.85,1156.0,614.0,623.0,2393.0,109.0,145.0,17.0,243.0,0.0,648.0,625.0,1047.0,1661.0,162.0,347.0,1067.0,884.0,182.0,641.0,1326.0,339.0,105.0,40.44,43.01,28.42,50.0,42.0,17.0,2424.52,1770.0,1792.27,280.0,18.25,26.76,26.76,103.37,104.3,102.0
VAN,2025,VAN,VAN,Team Level,4on5,50,0.09,0.13,0.15,13867.0,41.05,3.48,1.77,5.96,1.27,12.34,29.19,3.39,3.48,3.39,38.0,16.0,4.0,58.0,4.0,4.0,0.0,5.0,0.0,14.0,27.0,34.0,50.0,8.0,16.0,119.0,44.0,17.0,21.0,41.0,10.0,3.0,1.25,1.42,0.81,2.0,2.0,0.0,58.0,54.0,54.0,19.0,0.4,0.57,0.57,3.31,3.31,3.27,232.51,34.61,21.38,49.04,7.87,125.85,64.25,32.62,34.61,32.62,201.0,102.0,80.0,383.0,39.0,37.0,4.0,37.0,0.0,98.0,92.0,162.0,264.0,10.0,20.0,139.0,14.0,7.0,49.0,186.0,70.0,47.0,5.79,8.48,20.34,7.0,11.0,21.0,383.0,303.0,303.0,5.0,5.58,7.49,7.49,32.7,32.7,31.37
VAN,2025,VAN,VAN,Team Level,5on4,50,0.91,0.88,0.88,14637.0,254.54,34.04,24.33,55.58,8.57,143.85,75.61,31.37,34.04,31.37,218.0,124.0,103.0,445.0,31.0,42.0,6.0,47.0,0.0,133.0,89.0,187.0,311.0,7.0,14.0,135.0,12.0,6.0,47.0,248.0,44.0,50.0,6.03,5.25,22.77,2.0,4.0,25.0,445.0,342.0,342.0,3.0,6.39,10.25,10.25,30.18,30.18,29.33,35.72,3.55,1.92,5.67,1.29,11.52,24.04,3.42,3.55,3.42,40.0,8.0,11.0,59.0,3.0,3.0,0.0,3.0,0.0,11.0,28.0,37.0,45.0,5.0,10.0,125.0,29.0,17.0,15.0,31.0,13.0,4.0,0.83,1.62,1.11,2.0,1.0,0.0,59.0,48.0,48.0,10.0,0.44,0.72,0.72,3.28,3.28,3.22
CBJ,2025,CBJ,CBJ,Team Level,other,49,0.47,0.53,0.53,6750.0,121.91,21.47,8.44,22.82,4.08,63.89,43.3,19.76,21.47,19.76,114.0,50.0,49.0,213.0,18.0,8.0,1.0,18.0,2.0,67.0,51.0,96.0,146.0,1.0,2.0,86.0,21.0,15.0,25.0,98.0,39.0,27.0,3.96,4.48,13.02,1.0,7.0,10.0,213.0,164.0,164.0,11.0,2.53,2.14,2.14,21.86,21.86,20.28,105.76,24.43,7.39,18.13,3.44,54.31,36.3,21.33,24.43,21.33,92.0,52.0,46.0,190.0,23.0,13.0,0.0,13.0,0.0,47.0,48.0,69.0,121.0,6.0,12.0,86.0,17.0,12.0,20.0,71.0,37.0,36.0,3.04,4.58,16.81,6.0,4.0,13.0,190.0,144.0,144.0,8.0,2.11,5.36,5.36,21.19,21.19,20.5
CBJ,2025,CBJ,CBJ,Team Level,all,49,0.49,0.5,0.49,179850.0,1644.39,158.6,111.56,397.47,55.67,860.18,636.54,148.05,159.13,148.68,1490.0,730.0,863.0,3083.0,144.0,191.0,21.0,340.0,4.0,810.0,731.0,1346.0,2076.0,165.0,377.0,1458.0,948.0,240.0,791.0,1634.0,409.0,177.0,49.05,50.15,59.4,53.0,55.0,36.0,3108.48,2220.0,2237.5,388.0,25.03,40.74,40.74,142.88,143.79,138.2,1664.36,167.62,113.97,401.2,55.69,893.63,638.89,156.44,167.25,156.06,1508.0,763.0,807.0,3078.0,163.0,184.0,15.0,325.0,7.0,808.0,784.0,1345.0,2108.0,148.0,342.0,1419.0,859.0,237.0,759.0,1696.0,386.0,189.0,53.27,47.86,66.49,77.0,40.0,46.0,3065.93,2271.0,2265.18,367.0,25.38,43.75,43.75,149.25,148.99,144.61
CBJ,2025,CBJ,CBJ,Team Level,5on5,49,0.51,0.5,0.5,147946.0,1297.98,111.26,84.84,326.87,44.03,680.14,509.87,105.46,111.8,106.08,1160.0,597.0,726.0,2483.0,104.0,158.0,17.0,278.0,2.0,642.0,573.0,1056.0,1653.0,145.0,334.0,1158.0,907.0,200.0,707.0,1333.0,302.0,122.0,39.54,37.86,33.86,47.0,43.0,14.0,2508.48,1757.0,1774.5,360.0,17.75,31.99,31.99,97.02,97.91,95.66,1292.51,106.83,83.44,329.06,43.39,693.96,513.31,101.82,106.47,101.45,1165.0,605.0,666.0,2436.0,105.0,131.0,9.0,275.0,5.0,650.0,604.0,1060.0,1665.0,133.0,309.0,1123.0,806.0,189.0,676.0,1386.0,275.0,109.0,41.81,34.35,30.67,62.0,27.0,16.0,2423.93,1770.0,1764.18,339.0,17.36,27.75,27.75,96.45,96.18,93.96
CBJ,2025,CBJ,CBJ,Team Level,4on5,49,0.08,0.12,0.14,13324.0,38.72,2.99,1.85,5.73,1.24,12.08,28.12,2.96,2.99,2.96,44.0,8.0,5.0,57.0,3.0,3.0,0.0,3.0,0.0,8.0,35.0,41.0,49.0,5.0,10.0,101.0,14.0,20.0,20.0,38.0,14.0,0.0,1.26,1.73,0.0,2.0,1.0,0.0,57.0,52.0,52.0,14.0,0.43,0.32,0.32,3.11,3.11,3.08,240.88,34.27,22.1,50.79,8.08,137.5,71.25,31.21,34.27,31.21,226.0,98.0,93.0,417.0,34.0,40.0,6.0,35.0,2.0,109.0,104.0,192.0,290.0,2.0,4.0,113.0,11.0,12.0,43.0,213.0,70.0,41.0,7.67,8.42,18.19,8.0,9.0,17.0,417.0,324.0,324.0,4.0,5.67,10.65,10.65,29.29,29.29,27.84
CBJ,2025,CBJ,CBJ,Team Level,5on4,49,0.92,0.9,0.88,11830.0,185.8,22.87,16.43,42.05,6.33,104.08,55.26,19.87,22.87,19.87,172.0,75.0,83.0,330.0,19.0,22.0,3.0,41.0,0.0,93.0,72.0,153.0,228.0,14.0,31.0,113.0,6.0,5.0,39.0,165.0,54.0,28.0,4.29,6.08,12.51,3.0,4.0,12.0,330.0,247.0,247.0,3.0,4.31,6.28,6.28,20.9,20.9,19.17,25.21,2.08,1.04,3.21,0.77,7.86,18.03,2.08,2.08,2.08,25.0,8.0,2.0,35.0,1.0,0.0,0.0,2.0,0.0,2.0,28.0,24.0,32.0,7.0,17.0,97.0,25.0,24.0,20.0,26.0,4.0,3.0,0.75,0.52,0.82,1.0,0.0,0.0,35.0,33.0,33.0,16.0,0.24,0.0,0.0,2.33,2.33,2.32
