normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
UNC Greensboro,UNC Greensboro,UNCG,UNC Greensboro Spartans,TBD,UNC Greensboro,✓,UNC Greensboro,UNC Greensboro,UNC Greensboro Spartans,UNC Greensboro
UC Irvine,UC Irvine,UC Irvine,UC Irvine Anteaters,TBD,UC Irvine,NEW_SUN,UC Irvine,UC Irvine,UC Irvine Anteaters,UC Irvine
Utah,Utah,Utah,Utah Utes,TBD,Utah,✓,Utah,Utah,Utah Utes,Utah
Utah Valley,Utah Valley,Utah Valley,Utah Valley Wolverines,TBD,Utah Valley,✓,Utah Valley,Utah Valley,Utah Valley Wolverines,Utah Valley
Vermont,Vermont,Vermont,Vermont Catamounts,TBD,Vermont,✓,Vermont,Vermont,Vermont Catamounts,Vermont
Richmond,Richmond,Richmond,Richmond Spiders,TBD,Richmond,✓,Richmond,Richmond,Richmond Spiders,Richmond
Furman,Furman,Furman,Furman Paladins,TBD,Furman,✓,Furman,Furman,Furman Paladins,Furman
Charlotte,Charlotte,Charlotte,Charlotte 49ers,TBD,Charlotte,✓,Charlotte,Charlotte,Charlotte 49ers,Charlotte
Illinois State,Illinois State,Illinois State,Illinois State Redbirds,TBD,Illinois St.,✓,Illinois State,Illinois St.,Illinois St Redbirds,Illinois State
Colorado,Colorado,Colorado,Colorado Buffaloes,TBD,Colorado,✓,Colorado,Colorado,Colorado Buffaloes,Colorado
San Francisco,San Francisco,San Francisco,San Francisco Dons,TBD,San Francisco,✓,San Francisco,San Francisco,San Francisco Dons,San Francisco
TCU,Tcu,TCU,TCU Horned Frogs,TBD,TCU,✓,Tcu,TCU,TCU Horned Frogs,TCU
Florida,Florida,Florida,Florida Gators,TBD,Florida,✓,Florida,Florida,Florida Gators,Florida
Nevada,Nevada,Nevada,Nevada Wolf Pack,TBD,Nevada,✓,Nevada,Nevada,Nevada Wolf Pack,Nevada
Washington,Washington,Washington,Washington Huskies,TBD,Washington,✓,Washington,Washington,Washington Huskies,Washington
BYU,Byu,BYU,Brigham Young Cougars,TBD,BYU,✓,BYU,BYU,BYU Cougars,BYU
Miami (FL),Miami (FL),Miami,Miami Hurricanes,TBD,Miami (FL),✓,Miami (FL),Miami FL,Miami Hurricanes,Miami
Providence,Providence,Providence,Providence Friars,TBD,Providence,✓,Providence,Providence,Providence Friars,Providence
Wisconsin,Wisconsin,Wisconsin,Wisconsin Badgers,TBD,Wisconsin,✓,Wisconsin,Wisconsin,Wisconsin Badgers,Wisconsin
Saint Louis,Saint Louis,Saint Louis,Saint Louis Billikens,TBD,Saint Louis,✓,Saint Louis,Saint Louis,Saint Louis Billikens,Saint Louis
Santa Clara,Santa Clara,Santa Clara,Santa Clara Broncos,TBD,Santa Clara,✓,Santa Clara,Santa Clara,Santa Clara Broncos,Santa Clara
Georgetown,Georgetown,Georgetown,Georgetown Hoyas,TBD,Georgetown,✓,Georgetown,Georgetown,Georgetown Hoyas,Georgetown
Dayton,Dayton,Dayton,Dayton Flyers,TBD,Dayton,✓,Dayton,Dayton,Dayton Flyers,Dayton
Arkansas,Arkansas,Arkansas,Arkansas Razorbacks,TBD,Arkansas,✓,Arkansas,Arkansas,Arkansas Razorbacks,Arkansas
Duke,Duke,Duke,Duke Blue Devils,TBD,Duke,✓,Duke,Duke,Duke Blue Devils,Duke
Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,TBD,Minnesota,✓,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota
Stanford,Stanford,Stanford,Stanford Cardinal,TBD,Stanford,✓,Stanford,Stanford,Stanford Cardinal,Stanford
Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State Cowboys,TBD,Oklahoma St.,✓,Oklahoma State,Oklahoma St.,Oklahoma St Cowboys,Oklahoma State
Northwestern,Northwestern,Northwestern,Northwestern Wildcats,TBD,Northwestern,✓,Northwestern,Northwestern,Northwestern Wildcats,Northwestern
Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M Bulldogs,TBD,Alabama A&M,,Alabama A&M,Alabama A&M,Alabama A&M Bulldogs,Alabama A&M
Alcorn State,Alcorn State,Alcorn State,Alcorn State Braves,TBD,Alcorn,✓,Alcorn State,Alcorn St.,Alcorn St Braves,Alcorn State
Ball State,Ball State,Ball State,Ball State Cardinals,TBD,Ball St.,NCAA_FIX,Ball State,Ball St.,Ball State Cardinals,Ball State
Charleston Southern,Charleston Southern,Charleston So.,Charleston Southern Buccaneers,TBD,Charleston So.,✓,Charleston Southern,Charleston Southern,Charleston Southern Buccaneers,Charleston Southern
Chicago State,Chicago State,Chicago State,Chicago State Cougars,TBD,Chicago St.,,Chicago State,Chicago St.,Chicago St Cougars,Chicago State
Cleveland State,Cleveland State,Cleveland State,Cleveland State Vikings,TBD,Cleveland St.,,Cleveland State,Cleveland St.,,Cleveland State
Colgate,Colgate,Colgate,Colgate Raiders,TBD,Colgate,,Colgate,Colgate,Colgate Raiders,Colgate
Connecticut,Connecticut,UConn,Connecticut Huskies,TBD,UConn,,UConn,Connecticut,UConn Huskies,Connecticut
DePaul,DePaul,DePaul,DePaul Blue Demons,TBD,DePaul,✓,DePaul,DePaul,DePaul Blue Demons,DePaul
Drake,Drake,Drake,Drake Bulldogs,TBD,Drake,✓,Drake,Drake,Drake Bulldogs,Drake
Eastern Illinois,Eastern Illinois,E. Illinois,Eastern Illinois Panthers,TBD,Eastern Ill.,,E Illinois,Eastern Illinois,Eastern Illinois Panthers,Eastern Illinois
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,TBD,Georgia Tech,✓,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech
Hofstra,Hofstra,Hofstra,Hofstra Pride,TBD,Hofstra,,Hofstra,Hofstra,Hofstra Pride,Hofstra
Illinois,Illinois,Illinois,Illinois Fighting Illini,TBD,Illinois,,Illinois,Illinois,Illinois Fighting Illini,Illinois
Jackson State,Jackson State,Jackson State,Jackson State Tigers,TBD,Jackson St.,✓,Jackson State,Jackson St.,Jackson St Tigers,Jackson State
La Salle,La Salle,La Salle,La Salle Explorers,TBD,La Salle,,La Salle,La Salle,La Salle Explorers,La Salle
Le Moyne,Le Moyne,Le Moyne,Le Moyne Dolphins,TBD,Le Moyne,,Le Moyne,Le Moyne,Le Moyne Dolphins,Le Moyne
Lehigh,Lehigh,Lehigh,Lehigh Mountain Hawks,TBD,Lehigh,,Lehigh,Lehigh,Lehigh Mountain Hawks,Lehigh
Longwood,Longwood,Longwood,Longwood Lancers,TBD,Longwood,,Longwood,Longwood,Longwood Lancers,Longwood
Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount Lions,TBD,LMU (CA),✓,Loyola Marymount,Loyola Marymount,Loyola Marymount Lions,Loyola Marymount
Maine,Maine,Maine,Maine Black Bears,TBD,Maine,,Maine,Maine,Maine Black Bears,Maine
Merrimack,Merrimack,Merrimack,Merrimack Warriors,TBD,Merrimack,,Merrimack,Merrimack,Merrimack Warriors,Merrimack
Missouri,Missouri,Missouri,Missouri Tigers,TBD,Missouri,,Missouri,Missouri,Missouri Tigers,Missouri
Monmouth,Monmouth,Monmouth,Monmouth Hawks,TBD,Monmouth,,Monmouth,Monmouth,Monmouth Hawks,Monmouth
N.J.I.T.,N.J.I.T.,NJIT,NJIT Highlanders,TBD,NJIT,✓,N.J.I.T.,NJIT,NJIT Highlanders,NJIT
Nicholls State,Nicholls State,Nicholls,Nicholls State Colonels,TBD,Nicholls St.,,Nicholls State,Nicholls St.,Nicholls St Colonels,Nicholls
North Carolina A&T,North Carolina A&T,NC A&T,North Carolina A&T Aggies,TBD,N.C. A&T,,North Carolina A&T,North Carolina A&T,North Carolina A&T Aggies,North Carolina A&T
North Dakota,North Dakota,North Dakota,North Dakota Fighting Hawks,TBD,North Dakota,✓,North Dakota,North Dakota,North Dakota Fighting Hawks,North Dakota
Northeastern,Northeastern,Northeastern,Northeastern Huskies,TBD,Northeastern,,Northeastern,Northeastern,Northeastern Huskies,Northeastern
Ohio State,Ohio State,Ohio State,Ohio State Buckeyes,TBD,Ohio State,,Ohio State,Ohio St.,Ohio State Buckeyes,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma Sooners,TBD,Oklahoma,,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma
Pittsburgh,Pittsburgh,Pittsburgh,Pitt Panthers,TBD,Pittsburgh,,Pittsburgh,Pittsburgh,Pittsburgh Panthers,Pittsburgh
Purdue,Purdue,Purdue,Purdue Boilermakers,TBD,Purdue,,Purdue,Purdue,Purdue Boilermakers,Purdue
Queens University of Charlotte,Queens University of Charlotte,Queens,Queens Royals,TBD,Queens,,Queens University of Charlotte,Queens,Queens University Royals,Queens University
SMU,SMU,SMU,SMU Mustangs,TBD,SMU,,SMU,SMU,SMU Mustangs,SMU
Seattle,Seattle,Seattle,Seattle Redhawks,TBD,Seattle,,Seattle,Seattle,Seattle Redhawks,Seattle U
Siena,Siena,Siena,Siena Saints,TBD,Siena,,Siena,Siena,Siena Saints,Siena
South Carolina,South Carolina,South Carolina,South Carolina Gamecocks,TBD,South Carolina,,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina
Southern Utah,Southern Utah,Southern Utah,Southern Utah Thunderbirds,TBD,Southern Utah,,Southern Utah,Southern Utah,Southern Utah Thunderbirds,Southern Utah
Stony Brook,Stony Brook,Stony Brook,Stony Brook Seawolves,TBD,Stony Brook,✓,Stony Brook,Stony Brook,Stony Brook Seawolves,Stony Brook
Texas A&M,Texas A&M,Texas A&M,Texas A&M Aggies,TBD,Texas A&M,,Texas A&M,Texas A&M,Texas A&M Aggies,Texas A&M
Texas State,Texas State,Texas State,Texas State Bobcats,TBD,Texas State,,Texas State,Texas St.,Texas State Bobcats,Texas State
UC Santa Barbara,UC Santa Barbara,UCSB,UC Santa Barbara Gauchos,TBD,UC Santa Barbara,,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara Gauchos,UC Santa Barbara
Virginia,Virginia,Virginia,Virginia Cavaliers,TBD,Virginia,,Virginia,Virginia,Virginia Cavaliers,Virginia
Wright State,Wright State,Wright State,Wright State Raiders,TBD,Wright St.,,Wright State,Wright St.,Wright St Raiders,Wright State
Xavier,Xavier,Xavier,Xavier Musketeers,TBD,Xavier,,Xavier,Xavier,Xavier Musketeers,Xavier
Youngstown State,Youngstown State,Youngstown St.,Youngstown State Penguins,TBD,Youngstown St.,,Youngstown State,Youngstown St.,,Youngstown State
Albany,Albany,Albany,Albany Great Danes,TBD,Albany,,Albany,Albany,Albany Great Danes,UAlbany
American University,American University,American,American University Eagles,TBD,American,,American University,American,American Eagles,American University
Butler,Butler,Butler,Butler Bulldogs,TBD,Butler,,Butler,Butler,Butler Bulldogs,Butler
Clemson,Clemson,Clemson,Clemson Tigers,TBD,Clemson,,Clemson,Clemson,Clemson Tigers,Clemson
Davidson,Davidson,Davidson,Davidson Wildcats,TBD,Davidson,,Davidson,Davidson,Davidson Wildcats,Davidson
Hawaii,Hawaii,Hawaii,Hawaii Rainbow Warriors,TBD,Hawaii,✓,Hawaii,Hawaii,Hawai'i Rainbow Warriors,Hawai'i
Lafayette,Lafayette,Lafayette,Lafayette Leopards,TBD,Lafayette,,Lafayette,Lafayette,,Lafayette
LSU,LSU,LSU,LSU Tigers,TBD,LSU,✓,LSU,LSU,LSU Tigers,LSU
Marquette,Marquette,Marquette,Marquette Golden Eagles,TBD,Marquette,,Marquette,Marquette,Marquette Golden Eagles,Marquette
Mississippi State,Mississippi State,Mississippi St.,Mississippi State Bulldogs,TBD,Mississippi St.,,Mississippi State,Mississippi St.,Mississippi St Bulldogs,Mississippi State
Pennsylvania,Pennsylvania,Penn,Penn Quakers,TBD,Penn,✓,Pennsylvania,Penn,Pennsylvania Quakers,Pennsylvania
Tulane,Tulane,Tulane,Tulane Green Wave,TBD,Tulane,,Tulane,Tulane,Tulane Green Wave,Tulane
Arkansas State,Arkansas State,Arkansas State,Arkansas State Red Wolves,TBD,Arkansas St.,✓,Arkansas State,Arkansas St.,Arkansas St Red Wolves,Arkansas State
Louisiana,Louisiana,Louisiana,Louisiana Lafayette,TBD,Louisiana,,Louisiana,Louisiana,Louisiana Ragin' Cajuns,Louisiana
Texas A&M-CC,Texas A&M-CC,Texas A&M-CC,Texas A&M CC Islanders,TBD,A&M-Corpus Christi,✓,Texas A&M-CC,Texas A&M Corpus Chris,Texas A&M-CC Islanders,Texas A&M-Corpus Christi
Texas A&M,Texas A&M,Texas A&M,Texas A&M Aggies,TBD,Texas A&M,✓,Texas A&M,Texas A&M,,Texas A&M
Florida State,Florida State,Florida State,Florida State Seminoles,TBD,Florida St.,✓,Florida State,Florida St.,,Florida State
Pittsburgh,Pittsburgh,Pittsburgh,Pitt Panthers,TBD,Pittsburgh,✓,Pittsburgh,Pittsburgh,,Pittsburgh
Georgia,Georgia,Georgia,Georgia Bulldogs,TBD,Georgia,NEW,Georgia,Georgia,Georgia Bulldogs,Georgia
Nebraska,Nebraska,Nebraska,Nebraska Cornhuskers,TBD,Nebraska,NEW,Nebraska,Nebraska,,Nebraska
USC Upstate,USC Upstate,USC Upstate,USC Upstate Spartans,TBD,USC Upstate,NEW,USC Upstate,USC Upstate,South Carolina Upstate Spartans,South Carolina Upstate
Western Michigan,Western Michigan,W. Michigan,Western Michigan Broncos,TBD,Western Mich.,NEW,Western Michigan,Western Michigan,Western Michigan Broncos,Western Michigan
Kansas City,Kansas City,Kansas City,UMKC Kangarros,TBD,Kansas City,NEW,Kansas City,UMKC,UMKC Kangaroos,Kansas City
South Dakota,South Dakota,South Dakota,South Dakota Coyotes,TBD,South Dakota,NEW,South Dakota,South Dakota,South Dakota Coyotes,South Dakota
Eastern Kentucky,Eastern Kentucky,E. Kentucky,Eastern Kentucky Colonels,TBD,Eastern Ky.,NEW,Eastern Kentucky,Eastern Kentucky,,Eastern Kentucky
Central Arkansas,Central Arkansas,Cent. Arkansas,Central Arkansas Bears,TBD,Central Ark.,NEW,Central Arkansas,Central Arkansas,Central Arkansas Bears,Central Arkansas
Arkansas-Little Rock,Arkansas-Little Rock,Little Rock,Little Rock Trojans,TBD,Little Rock,✓,Little Rock,Little Rock,Arkansas-Little Rock Trojans,Little Rock
Houston Christian,Houston Christian,Houston Christian,Houston Christian Huskies,TBD,Houston Christian,NEW,Houston Christian,Houston Christian,,Houston Christian
Georgia Southern,Georgia Southern,GA Southern,Georgia Southern Eagles,TBD,Ga. Southern,NEW,Georgia Southern,Georgia Southern,Georgia Southern Eagles,Georgia Southern
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Bethune Cookman Wildcats,TBD,Bethune-Cookman,NEW,Bethune-Cookman,Bethune Cookman,Bethune-Cookman Wildcats,Bethune-Cookman
Detroit Mercy,Detroit Mercy,Detroit Mercy,Detroit Titans,TBD,Detroit Mercy,NEW,Detroit Mercy,Detroit Mercy,Detroit Mercy Titans,Detroit Mercy
UCF,Ucf,UCF,UCF Knights,TBD,UCF,NEW,Ucf,UCF,,UCF
Boston University,Boston University,Boston U,Boston University Terriers,TBD,Boston U.,NEW,Boston University,Boston University,,Boston University
James Madison,James Madison,JMU,James Madison Dukes,TBD,James Madison,NEW,James Madison,James Madison,James Madison Dukes,James Madison
George Mason,George Mason,George Mason,George Mason Patriots,TBD,George Mason,NEW,George Mason,George Mason,,George Mason
Dartmouth,Dartmouth,Dartmouth,Dartmouth Big Green,TBD,Dartmouth,NEW,Dartmouth,Dartmouth,Dartmouth Big Green,Dartmouth
Saint Peter's,Saint Peter's,St. Peter's,Saint Peter's Peacocks,TBD,Saint Peter's,NEW,Saint Peter's,Saint Peter's,Saint Peter's Peacocks,Saint Peter's
Morehead State,Morehead State,Morehead State,Morehead State Eagles,TBD,Morehead St.,NEW,Morehead State,Morehead St.,Morehead St Eagles,Morehead State
IUPUI,IUPUI,IU Indianapolis,IUPUI Jaguars,TBD,IU Indy,NEW,Iupui,IU Indy,,IU Indianapolis
Southern University,Southern University,Southern,Southern University Jaguars,TBD,Southern,NEW,Southern,Southern,Southern Jaguars,Southern
Northwestern State,Northwestern State,Northwestern St.,Northwestern State Demons,TBD,Northwestern St.,NEW,Northwestern State,Northwestern St.,Northwestern St Demons,Northwestern State
Western Carolina,Western Carolina,W. Carolina,Western Carolina Catamounts,TBD,Western Caro.,NEW,Western Carolina,Western Carolina,Western Carolina Catamounts,Western Carolina
High Point,High Point,High Point,High Point Panthers,TBD,High Point,NEW,High Point,High Point,High Point Panthers,High Point
Bryant University,Bryant University,Bryant,Bryant Bulldogs,TBD,Bryant,NEW,Bryant,Bryant,Bryant Bulldogs,Bryant
Delaware State,Delaware State,Delaware State,Delaware State Hornets,TBD,Delaware St.,NEW,Delaware State,Delaware St.,Delaware St Hornets,Delaware State
UMBC,UMBC,UMBC,UMBC Retrievers,TBD,UMBC,NEW,UMBC,UMBC,UMBC Retrievers,UMBC
Weber State,Weber State,Weber State,Weber State Wildcats,TBD,Weber St.,NEW,Weber State,Weber St.,Weber State Wildcats,Weber State
Montana State,Montana State,Montana State,Montana State Bobcats,TBD,Montana St.,NEW,Montana State,Montana St.,Montana St Bobcats,Montana State
Elon,Elon,Elon,Elon Phoenix,TBD,Elon,NEW,Elon,Elon,Elon Phoenix,Elon
Norfolk State,Norfolk State,Norfolk State,Norfolk State Spartans,TBD,Norfolk St.,NEW,Norfolk State,Norfolk St.,Norfolk St Spartans,Norfolk State
Winthrop,Winthrop,Winthrop,Winthrop Eagles,TBD,Winthrop,NEW,Winthrop,Winthrop,Winthrop Eagles,Winthrop
East Tennessee State,East Tennessee State,ETSU,ETSU Buccaneers,TBD,ETSU,NEW,East Tennessee State,East Tennessee St.,East Tennessee St Buccaneers,East Tennessee State
Howard,Howard,Howard,Howard Bison,TBD,Howard,NEW,Howard,Howard,Howard Bison,Howard
Mount St. Mary's,Mount St. Mary's,Mt. St. Mary's,Mount St. Mary's Mountaineers,TBD,Mount St. Mary's,NEW,Mount St. Mary's,Mount St. Mary's,Mt. St. Mary's Mountaineers,Mount St. Mary's
Cal State Fullerton,Cal State Fullerton,CSU Fullerton,Cal State Fullerton Titans,TBD,Cal State Fullerton,NEW,Cal State Fullerton,Cal St. Fullerton,CSU Fullerton Titans,Cal State Fullerton
UC Riverside,UC Riverside,UC Riverside,UC Riverside Highlanders,TBD,UC Riverside,NEW,UC Riverside,UC Riverside,UC Riverside Highlanders,UC Riverside
Utah Tech,Utah Tech,Utah Tech,Utah Tech Trailblazers,TBD,Utah Tech,NEW,Utah Tech,Utah Tech,Utah Tech Trailblazers,Utah Tech
Canisius,Canisius,Canisius,Canisius Golden Griffins,TBD,Canisius,NEW,Canisius,Canisius,Canisius Golden Griffins,Canisius
Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart Pioneers,TBD,Sacred Heart,NEW,Sacred Heart,Sacred Heart,Sacred Heart Pioneers,Sacred Heart
Milwaukee,Milwaukee,Milwaukee,Wisconsin Milwaukee Panthers,TBD,Milwaukee,NEW,Milwaukee,Milwaukee,,Milwaukee
Akron,Akron,Akron,Akron Zips,TBD,Akron,NEW,Akron,Akron,Akron Zips,Akron
Fordham,Fordham,Fordham,Fordham Rams,TBD,Fordham,NEW,Fordham,Fordham,Fordham Rams,Fordham
Sacramento State,Sacramento State,Sacramento St.,Sacramento State Hornets,TBD,Sacramento St.,✓,Sacramento State,Sacramento St.,Sacramento St Hornets,Sacramento State
California Baptist,California Baptist,Cal Baptist,California Baptist Lancers,TBD,California Baptist,NEW,California Baptist,Cal Baptist,Cal Baptist Lancers,California Baptist
Oregon State,Oregon State,Oregon State,Oregon State Beavers,TBD,Oregon St.,NEW,Oregon State,Oregon St.,Oregon St Beavers,Oregon State
Niagara,Niagara,Niagara,Niagara Purple Eagles,TBD,Niagara,NEW,Niagara,Niagara,Niagara Purple Eagles,Niagara
Utah State,Utah State,Utah State,Utah State Aggies,TBD,Utah St.,NEW,Utah State,Utah St.,Utah State Aggies,Utah State
Arizona,Arizona,Arizona,Arizona Wildcats,TBD,Arizona,NEW,Arizona,Arizona,Arizona Wildcats,Arizona
South Carolina State,South Carolina State,S. Carolina St.,South Carolina State Bulldogs,TBD,South Carolina State,NEW,South Carolina State,South Carolina St.,South Carolina St Bulldogs,South Carolina State
Penn State,Penn State,Penn State,Penn State Nittany Lions,TBD,Penn St.,✓,Penn State,Penn St.,Penn State Nittany Lions,Penn State
Indiana,Indiana,Indiana,Indiana Hoosiers,TBD,Indiana,NEW,Indiana,Indiana,,Indiana
Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin Lumberjacks,TBD,SFA,NEW,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin Lumberjacks,Stephen F. Austin
Pacific,Pacific,Pacific,Pacific Tigers,TBD,Pacific,NEW,Pacific,Pacific,,Pacific
Texas-Arlington,Texas-Arlington,UT Arlington,UT Arlington Mavericks,TBD,UT Arlington,NEW,UT Arlington,UT Arlington,UT-Arlington Mavericks,UT Arlington
Saint Joseph's (PA),Saint Joseph's (PA),Saint Joe's,Saint Joseph's Hawks,TBD,Saint Joseph's (PA),NEW_SUN,Saint Joseph's (PA),Saint Joseph's,Saint Joseph's Hawks,Saint Joseph's
South Alabama,South Alabama,South Alabama,South Alabama Jaguars,TBD,South Alabama,NEW_SUN,South Alabama,South Alabama,South Alabama Jaguars,South Alabama
Chattanooga,Chattanooga,Chattanooga,Chattanooga Mocs,TBD,Chattanooga,NEW_SUN,Chattanooga,Chattanooga,Chattanooga Mocs,Chattanooga
Yale,Yale,Yale,Yale Bulldogs,TBD,Yale,NEW_SUN,Yale,Yale,Yale Bulldogs,Yale
Cornell,Cornell,Cornell,Cornell Big Red,TBD,Cornell,NEW_SUN,Cornell,Cornell,Cornell Big Red,Cornell
Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst Lakers,TBD,Mercyhurst,NEW_SUN,Mercyhurst,Mercyhurst,Mercyhurst Lakers,Mercyhurst
West Virginia,West Virginia,West Virginia,West Virginia Mountaineers,TBD,West Virginia,NEW_SUN,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia
Coastal Carolina,Coastal Carolina,Coast. Carolina,Coastal Carolina Chanticleers,TBD,Coastal Carolina,NEW_SUN,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,Coastal Carolina
Prairie View A&M,Prairie View A&M,PV A&M,Prairie View A&M Panthers,TBD,Prairie View,NCAA_FIX,Prairie View A&M,Prairie View A&M,Prairie View Panthers,Prairie View A&M
Citadel,Citadel,The Citadel,The Citadel Bulldogs,TBD,The Citadel,NCAA_FIX,Citadel,The Citadel,The Citadel Bulldogs,The Citadel
Presbyterian,Presbyterian,Presbyterian,Presbyterian Blue Hose,TBD,Presbyterian,NEW_SUN,Presbyterian,Presbyterian,Presbyterian Blue Hose,Presbyterian
Cal State Bakersfield,Cal State Bakersfield,CSU Bakersfield,CSU Bakersfield Roadrunners,TBD,CSU Bakersfield,NCAA_FIX,Cal State Bakersfield,Cal St. Bakersfield,CSU Bakersfield Roadrunners,Cal State Bakersfield
Loyola (MD),Loyola (MD),Loyola (MD),Loyola Maryland Greyhounds,TBD,Loyola Maryland,NCAA_FIX,Loyola (MD),Loyola MD,Loyola (MD) Greyhounds,Loyola Maryland
UTSA,UTSA,UTSA,UTSA Roadrunners,TBD,UTSA,NEW_SUN,UTSA,UTSA,,UTSA
Tennessee State,Tennessee State,Tennessee St.,Tennessee State Tigers,TBD,Tennessee St.,NCAA_FIX,Tennessee State,Tennessee St.,Tennessee St Tigers,Tennessee State
Charleston,Charleston,Charleston,Charleston Cougars,TBD,Col. of Charleston,NCAA_FIX,Charleston,Charleston,Charleston Cougars,Charleston
Tarleton State,Tarleton State,Tarleton,Tarleton State Texans,TBD,Tarleton State,NEW,Tarleton State,Tarleton St.,Tarleton State Texans,Tarleton State
Iona,Iona,Iona,Iona Gaels,TBD,Iona,NEW,Iona,Iona,Iona Gaels,Iona
North Alabama,North Alabama,North Alabama,North Alabama Lions,TBD,North Alabama,NEW,North Alabama,North Alabama,,North Alabama
West Georgia,West Georgia,West Georgia,West Georgia Wolves,TBD,West Ga.,NEW,West Georgia,West Georgia,West Georgia Wolves,West Georgia
Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word Cardinals,TBD,UIW,NEW,Incarnate Word,Incarnate Word,,Incarnate Word
Tennessee-Martin,Tennessee-Martin,UT Martin,Tennessee-Martin Skyhawks,TBD,UT Martin,✓,Tennessee-Martin,Tennessee Martin,Tenn-Martin Skyhawks,UT Martin
Florida A&M,Florida A&M,Florida A&M,Florida A&M Rattlers,TBD,Fla. A&M,NEW,Florida A&M,Florida A&M,Florida A&M Rattlers,Florida A&M
Western Illinois,Western Illinois,W. Illinois,Western Illinois Leathernecks,TBD,Western Ill.,✓,Western Illinois,Western Illinois,Western Illinois Leathernecks,Western Illinois
Central Michigan,Central Michigan,Cent. Michigan,Central Michigan Chippewas,TBD,Central Mich.,✓,Central Michigan,Central Michigan,Central Michigan Chippewas,Central Michigan
Maryland-Eastern Shore,Maryland-Eastern Shore,UMES,MD E Shore Fighting Hawks,TBD,UMES,✓,Maryland-Eastern Shore,Maryland Eastern Shore,Maryland-Eastern Shore Hawks,Maryland Eastern Shore
Fairleigh Dickinson,Fairleigh Dickinson,Fair. Dickinson,Fairleigh Dickinson Knights,TBD,FDU,✓,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,Fairleigh Dickinson
LIU,LIU,Long Island,LIU Sharks,TBD,LIU,NEW,LIU,LIU,LIU Sharks,Long Island University
SIU-Edwardsville,SIU-Edwardsville,SIUE,SIU Edwardsville Cougars,TBD,SIUE,NEW,SIU Edwardsville,SIU Edwardsville,SIU-Edwardsville Cougars,SIU Edwardsville
Northern Illinois,Northern Illinois,N. Illinois,Northern Illinois Huskies,TBD,NIU,✓,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois
Binghamton,Binghamton,Binghamton,Binghamton Bearcats,TBD,Binghamton,NEW,Binghamton,Binghamton,Binghamton Bearcats,Binghamton
Duquesne,Duquesne,Duquesne,Duquesne Dukes,TBD,Duquesne,NEW,Duquesne,Duquesne,Duquesne Dukes,Duquesne
Grambling State,Grambling State,Grambling State,Grambling State Tigers,TBD,Grambling State,NEW,Grambling State,Grambling St.,Grambling St Tigers,Grambling
Green Bay,Green Bay,Green Bay,Wisconsin Green Bay Phoenix,TBD,Green Bay,NEW,Green Bay,Green Bay,Green Bay Phoenix,Green Bay
Lindenwood,Lindenwood,Lindenwood,Lindenwood Lions,TBD,Lindenwood,NEW,Lindenwood,Lindenwood,Lindenwood Lions,Lindenwood
North Florida,North Florida,North Florida,North Florida Ospreys,TBD,North Florida,NEW,North Florida,North Florida,North Florida Ospreys,North Florida
Massachusetts,Massachusetts,UMass,UMass Minutemen,TBD,Massachusetts,NEW,Massachusetts,Massachusetts,Massachusetts Minutemen,Massachusetts
Arkansas-Pine Bluff,Arkansas-Pine Bluff,AR-Pine Bluff,Ark Pine Bluff Golden Lions,TBD,Ark.-Pine Bluff,NEW,Arkansas-Pine Bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff
Florida International,Florida International,FIU,FIU Golden Panthers,TBD,FIU,NEW,FIU,FIU,Florida Int'l Golden Panthers,Florida International
Texas Rio Grande Valley,Texas Rio Grande Valley,UTRGV,UTRGV Vaqueros,TBD,UTRGV,NEW,UTRGV,UT Rio Grande Valley,,UT Rio Grande Valley
