normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
Mercer,Mercer,Mercer,Mercer Bears,TBD,Mercer,✓,Mercer,Mercer,Mercer Bears,Mercer
Michigan,Michigan,Michigan,Michigan Wolverines,TBD,Michigan,✓,Michigan,Michigan,Michigan Wolverines,Michigan
Navy,Navy,Navy,Navy Midshipmen,TBD,Navy,✓,Navy,Navy,Navy Midshipmen,Navy
NC State,NC State,NC State,NC State Wolfpack,TBD,NC State,✓,NC State,N.C. State,NC State Wolfpack,NC State
NC-Wilmington,NC-Wilmington,UNC Wilmington,UNC Wilmington Seahawks,TBD,UNCW,✓,UNCW,UNC Wilmington,UNC Wilmington Seahawks,UNC Wilmington
New Hampshire,New Hampshire,UNH,New Hampshire Wildcats,TBD,New Hampshire,✓,New Hampshire,New Hampshire,New Hampshire Wildcats,New Hampshire
New Mexico,New Mexico,New Mexico,New Mexico Lobos,TBD,New Mexico,✓,New Mexico,New Mexico,New Mexico Lobos,New Mexico
New Mexico State,New Mexico State,New Mexico St.,New Mexico State Aggies,TBD,New Mexico St.,✓,New Mexico State,New Mexico St.,New Mexico St Aggies,New Mexico State
New Orleans,New Orleans,New Orleans,New Orleans Privateers,TBD,New Orleans,✓,New Orleans,New Orleans,New Orleans Privateers,New Orleans
North Dakota State,North Dakota State,North Dakota St.,North Dakota State Bison,TBD,North Dakota St.,✓,North Dakota State,North Dakota St.,North Dakota St Bison,North Dakota State
Northern Colorado,Northern Colorado,N. Colorado,Northern Colorado Bears,TBD,Northern Colo.,✓,Northern Colorado,Northern Colorado,N Colorado Bears,Northern Colorado
Northern Kentucky,Northern Kentucky,N. Kentucky,Northern Kentucky Norse,TBD,Northern Ky.,✓,Northern Kentucky,Northern Kentucky,Northern Kentucky Norse,Northern Kentucky
Notre Dame,Notre Dame,Notre Dame,Notre Dame Fighting Irish,TBD,Notre Dame,✓,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame
Pepperdine,Pepperdine,Pepperdine,Pepperdine Waves,TBD,Pepperdine,✓,Pepperdine,Pepperdine,Pepperdine Waves,Pepperdine
Portland,Portland,Portland,Portland Pilots,TBD,Portland,✓,Portland,Portland,Portland Pilots,Portland
Robert Morris,Robert Morris,Robert Morris,Robert Morris Colonials,TBD,Robert Morris,✓,Robert Morris,Robert Morris,Robert Morris Colonials,Robert Morris
Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's College Gaels,TBD,Saint Mary's (CA),✓,Saint Mary's,Saint Mary's,Saint Mary's Gaels,Saint Mary's
Sam Houston State,Sam Houston State,Sam Houston,Sam Houston State Bearkats,TBD,Sam Houston,✓,Sam Houston State,Sam Houston St.,Sam Houston St Bearkats,Sam Houston
San Diego State,San Diego State,San Diego State,San Diego State Aztecs,TBD,San Diego St.,✓,San Diego State,San Diego St.,San Diego St Aztecs,San Diego State
Seton Hall,Seton Hall,Seton Hall,Seton Hall Pirates,TBD,Seton Hall,✓,Seton Hall,Seton Hall,Seton Hall Pirates,Seton Hall
South Florida,South Florida,USF,South Florida Bulls,TBD,South Fla.,✓,South Florida,South Florida,South Florida Bulls,South Florida
Southeastern Louisiana,Southeastern Louisiana,SE Louisiana,Southeastern Louisiana Lions,TBD,Southeastern La.,✓,Southeastern Louisiana,Southeastern Louisiana,,SE Louisiana
