i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
304,2026-06-30,MLB,ml,2026-06-30_MLB_laa_sea,Los Angeles Angels,A,MINI,PREMIUM,158,1.5,LOSS,-1.5,57.5,71.2,0.89,2,2,,N,CUT,KEEP,CUT,CUT,KEEP,"ac9705:30%,70135d:65%,f9e3d0:77%"
305,2026-06-30,MLB,ml,2026-06-30_MLB_mia_col,Miami Marlins,A,TOP,LEAN,-135,4,WIN,2.96,77.4,83.9,2.25,3,2,22.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:68%,a82a75:100%,5b1e50:64%"
306,2026-06-30,MLB,ml,2026-06-30_MLB_min_hou,Minnesota Twins,A,MINI,LOCK,-110,3,LOSS,-3,50.5,50.5,-0.23,0,0,-17.3,Y,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
307,2026-06-30,MLB,ml,2026-06-30_MLB_tbr_kcr,Tampa Bay Rays,C,SHARP,WEAK,-112,3,WIN,2.68,71.6,88.8,2.53,4,4,16.4,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:51%,a82a75:100%,5b1e50:64%,70135d:65%,bc35e3:78%"
308,2026-06-30,MLB,ml,2026-06-30_MLB_tex_cle,Cleveland Guardians,B,RANK,PREMIUM,110,4,LOSS,-4,65.9,65.9,0.85,2,0,,N,KEEP,KEEP,CUT,CUT,KEEP,"7703d4:64%,0f9d74:68%"
309,2026-06-30,MLB,ml,2026-06-30_MLB_wsh_bos,Washington Nationals,A,TOP+,PREMIUM,117,2.5,WIN,2.92,61.4,69.8,0.49,5,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"12ad50:72%,ac9705:30%,0f9d74:68%,eeabaf:67%,4b912c:68%,5b1e50:64%"
310,2026-06-30,SOC,ml,2026-06-30_SOC_ecu_mex,Mexico,A,TOP,LEAN,125,2.5,WIN,3.13,50.9,68.8,-0.95,2,3,13.6,Y,CUT,KEEP,CUT,CUT,KEEP,"cd2f63:56%,8bbab3:0%,c2aeea:59%,348973:73%,2f2a9e:49%,5b1e50:64%,95eb4c:47%,c911a4:58%"
311,2026-06-30,SOC,ml,2026-06-30_SOC_nor_civ,Norway,B,RANK,WEAK,115,4,WIN,4.6,59,71.1,1.48,4,3,35.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,"06c80c:40%,af1697:75%,cd2f63:56%,0f9d74:68%,2f2a9e:49%,5b1e50:64%,a10ff5:55%,c911a4:58%,eeabaf:67%"
312,2026-06-30,SOC,ml,2026-06-30_SOC_swe_fra,France,A,CONFIRMED,ELITE,-350,1,WIN,0.29,47.8,55.8,-1.06,0,0,4.6,Y,CUT,CUT,CUT,CUT,CUT,"12c933:53%,c9bba3:54%,2f2a9e:49%,2d024e:50%,c668b3:58%,fea6f5:23%"
313,2026-06-30,MLB,spread,2026-06-30_MLB_stl_atl_spread,St. Louis Cardinals,B,RANK,PREMIUM,-163,4,WIN,2.45,62.6,66.2,0.09,3,2,-7.7,Y,KEEP,KEEP,KEEP,KEEP,CUT,"f2d227:55%,8ec926:63%,4b912c:68%,5b1e50:64%"
314,2026-06-30,MLB,total,2026-06-30_MLB_cws_bal_total,Over 10.5,A,TOP,LOCK,-110,4,WIN,3.64,77.4,83.9,2.25,3,2,-0.7,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4b912c:68%,a82a75:100%,5b1e50:64%"
315,2026-06-30,MLB,total,2026-06-30_MLB_det_nyy_total,Under 7.5,A,TOP+,PREMIUM,-102,5,LOSS,-5,60.4,66.4,1.74,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:49%,5b1e50:64%,70135d:65%,ad88a3:67%,cd2f63:56%"
316,2026-06-30,MLB,total,2026-06-30_MLB_pit_phi_total,Under 8.5,A,MINI-,PREMIUM,-112,1,WIN,0.89,60.4,66.2,0.2,2,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:49%,4b912c:68%,5b1e50:64%"
