Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2098472731951956438,"Fri, Sep 11, 2026",@PrismaticSupply @laurencowling There is one big sharp we’ve seen on the Texas ML. Not sure I’ve seen a spread yet. https://t.co/1fMpeYdZsa,https://x.com/Real_NHL_Savant/status/2098472731951956438,56,1,7,0,0,0,0,0,0,1,0,0,0
2098450906328994300,"Fri, Sep 11, 2026",@treveille_ @matt28644 💯 that’s why we have so few unopposed plays. Normally we find sharps on both sides of every game.,https://x.com/Real_NHL_Savant/status/2098450906328994300,41,1,4,0,0,0,1,0,0,2,0,0,0
2098450141875175735,"Fri, Sep 11, 2026",@treveille_ @matt28644 That’s exactly why I built the prediction engine. I agree with you.,https://x.com/Real_NHL_Savant/status/2098450141875175735,42,1,2,0,0,0,1,0,0,0,0,0,0
2098418238765855058,"Fri, Sep 11, 2026",here is lookahead example for Oklahoma/Michigan. Where its a clear winner vs loser.. and another for Jays/O's total today. on the map you can really see the basis for how v12 starts to approach the map for locking plays. https://t.co/aSABnZy5VA,https://x.com/Real_NHL_Savant/status/2098418238765855058,270,0,74,0,0,0,1,0,4,6,0,0,0
2098416415166382287,"Fri, Sep 11, 2026","Wanted to showcase this feature for anyone who hasn't seen it. The Sharp Vault is where I keep all of my data for the sharps that feed the other pages and locked picks. Its a more raw version of the v12 prediction engine, but it can help you find plays/sharps like this. All on",https://x.com/Real_NHL_Savant/status/2098416415166382287,1146,7,57,0,0,0,2,0,8,36,0,0,0
2098415774796800407,"Fri, Sep 11, 2026",@matt28644 Nice digging into the vault! A lot of good stuff there.,https://x.com/Real_NHL_Savant/status/2098415774796800407,56,0,0,0,0,0,0,0,0,0,0,0,0
2098410932430876883,"Fri, Sep 11, 2026",@JPWilliams37 Exactly. New day today.,https://x.com/Real_NHL_Savant/status/2098410932430876883,26,1,2,0,0,0,0,0,0,1,0,0,0
2098410864042783188,"Fri, Sep 11, 2026",@ninobino_ Should have been the first clue.,https://x.com/Real_NHL_Savant/status/2098410864042783188,21,0,0,0,0,0,0,0,0,0,0,0,0
2098410800603955703,"Fri, Sep 11, 2026",@nguyenkaep I feel like I’m pretty open with the results.. not trying to really hide anything here.,https://x.com/Real_NHL_Savant/status/2098410800603955703,26,0,1,0,0,0,0,0,0,1,0,0,0
2098247365991809377,"Fri, Sep 11, 2026",@ShayAvants More sports/games/volume tomorrow!,https://x.com/Real_NHL_Savant/status/2098247365991809377,60,1,1,0,0,0,0,0,0,0,0,0,0
2098247225788776521,"Fri, Sep 11, 2026",@the_casino_man Makes it 10x worse for sure.,https://x.com/Real_NHL_Savant/status/2098247225788776521,57,0,5,0,0,0,1,0,4,0,0,0,0
