Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2098244661248733542,"Fri, Sep 11, 2026",@PoppaVic_ It is kind of uncanny how these patterns tend to show up. Just need each new run to higher than the last. https://t.co/p8MwkYTYSq,https://x.com/Real_NHL_Savant/status/2098244661248733542,85,1,6,0,0,0,0,0,0,0,0,0,0
2098244122695872549,"Fri, Sep 11, 2026",@dominic_grauso They won’t be on the sharp list much longer with losses like that.,https://x.com/Real_NHL_Savant/status/2098244122695872549,59,1,2,0,0,0,0,0,1,0,0,0,0
2098243789571670489,"Fri, Sep 11, 2026",@Jackwhitbets Always trying to stay zoomed out. Focusing on the process that got us here.,https://x.com/Real_NHL_Savant/status/2098243789571670489,74,1,1,0,0,0,0,0,0,0,0,0,0
2098243543189926235,"Fri, Sep 11, 2026",@dominic_grauso Especially nasty feeling because it’s the Rockies… Rockies/tigers…kryptonite,https://x.com/Real_NHL_Savant/status/2098243543189926235,297,0,6,0,0,0,1,0,5,0,0,0,0
2098243331096469944,"Fri, Sep 11, 2026",@dominic_grauso No kidding. So much worse after a big run.,https://x.com/Real_NHL_Savant/status/2098243331096469944,83,1,3,0,0,0,1,0,1,0,0,0,0
2098242571981951051,"Fri, Sep 11, 2026",Overall a pretty bad night for our picks and the sharps… Right when you think you’ve got it all figured out and can’t lose.. you always seem to get a nice reminder. Process all remains the same. Will review in the morning but just going to put this one behind us. We’ve got,https://x.com/Real_NHL_Savant/status/2098242571981951051,2590,13,88,0,0,1,10,0,22,37,0,0,0
2098219984618963064,"Fri, Sep 11, 2026",@IsaiahWballer Appreciate you. Let’s get back to winning.,https://x.com/Real_NHL_Savant/status/2098219984618963064,35,0,1,0,0,0,0,0,1,0,0,0,0
2098183752253931651,"Thu, Sep 10, 2026",@sharpsidepicks7 Easy guy to fade.,https://x.com/Real_NHL_Savant/status/2098183752253931651,81,0,0,0,0,0,0,0,0,0,0,0,0
2098167711654146111,"Thu, Sep 10, 2026",@JPWilliams37 🙏 trying to get things a little more user friendly around the site.,https://x.com/Real_NHL_Savant/status/2098167711654146111,132,2,3,0,0,0,0,0,1,0,0,0,0
2098166189499273311,"Thu, Sep 10, 2026","$51K AT 4.4× on the guy we normally fade. We normally fade Trent. Tonight he might be right. Sharps we track are on the Rams too. $51,000 on Rams -3.5. 4.4× what he usually bets. 9-1 this season. Last 30 days 7-1, +$45K. Another one: $58K on the same number. 7.9× his usual. https://t.co/49nXMZouz2",https://x.com/Real_NHL_Savant/status/2098166189499273311,4140,10,232,1,0,1,3,0,33,20,0,0,0
2098053590262641000,"Thu, Sep 10, 2026",@JPWilliams37 Extremely happy with the changes that I made coming out of the worst day. They have really paid off.,https://x.com/Real_NHL_Savant/status/2098053590262641000,83,2,6,0,0,0,0,0,3,1,0,0,0
2098049224826888545,"Thu, Sep 10, 2026","2 RED NIGHTS and V12 turns 100 days old TONIGHT! This week is still +33.4u. That's more than double a normal week. Here is the breakdown of the first 99 days 👇 If you only watched the last two nights, you'd think this thing broke. It didn't. Here's what 99 nights actually https://t.co/2cCiLWhkdn",https://x.com/Real_NHL_Savant/status/2098049224826888545,2340,17,133,0,1,0,3,0,16,21,0,0,0
2097770036609810661,"Wed, Sep 9, 2026",Adding this while I board… absolutely love the way the odds are dropping in our favor as the pinnacle limit is rising. https://t.co/j81YxAhJVt,https://x.com/Real_NHL_Savant/status/2097770036609810661,454,2,44,1,0,0,0,0,2,0,0,0,0
2097767596439281862,"Wed, Sep 9, 2026",@DormieThru9 That’s why they call you cash! Let’s get it!,https://x.com/Real_NHL_Savant/status/2097767596439281862,109,0,0,0,0,0,0,0,0,0,0,0,0
2097766224562196777,"Wed, Sep 9, 2026",@nguyenkaep Directions are in the account page.,https://x.com/Real_NHL_Savant/status/2097766224562196777,79,0,0,0,0,0,0,0,0,0,0,0,0
2097763957205307762,"Wed, Sep 9, 2026",@lilv018 100 percent. Not something I like. But I feel like we have a good mix of odds usually. And at this point I struggle to question the sharps,https://x.com/Real_NHL_Savant/status/2097763957205307762,83,1,1,0,0,0,0,0,0,0,0,0,0
2097763157993304507,"Wed, Sep 9, 2026",@lilv018 Risk/reward gets way out of whack in the unit tiers if betting to win 300,https://x.com/Real_NHL_Savant/status/2097763157993304507,65,0,0,0,0,0,0,0,0,0,0,0,0
