Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2102857956710867102,"Wed, Sep 23, 2026","@BiscoBetsEV Well said and both end of the spectrums.. when it low you want to change things up, maybe go off your gut, switch to another system, and when its red hot you size up, put more action out there. Its always a battle",https://x.com/Real_NHL_Savant/status/2102857956710867102,17,2,2,0,0,0,0,0,0,0,0,0,0
2102855865564889539,"Wed, Sep 23, 2026",@ShayAvants Needed that! Have to finish the MLB regular season on a high note.,https://x.com/Real_NHL_Savant/status/2102855865564889539,39,1,1,0,0,0,0,0,0,0,0,0,0
2102855750347624922,"Wed, Sep 23, 2026",@BiscoBetsEV Conviction in a process that you knew you held an edge. Commendable! Especially winning the psychological battle,https://x.com/Real_NHL_Savant/status/2102855750347624922,70,2,14,0,0,0,2,0,3,7,0,0,0
2102855261928955969,"Wed, Sep 23, 2026",@DormieThru9 If anybody held that under ticket from yesterday.... that cashed too in that game.,https://x.com/Real_NHL_Savant/status/2102855261928955969,23,0,2,0,0,0,0,0,0,2,0,0,0
2102855025236054417,"Wed, Sep 23, 2026",@PoppaVic_ soon though..the west coast NBA/NHL will have you busy,https://x.com/Real_NHL_Savant/status/2102855025236054417,21,0,0,0,0,0,0,0,0,0,0,0,0
2102854420459299060,"Wed, Sep 23, 2026",@zackwithit @dominic_grauso you must not watch these two teams. their bullpens are miserable,https://x.com/Real_NHL_Savant/status/2102854420459299060,32,0,4,0,0,0,1,0,0,3,0,0,0
2102854309629088223,"Wed, Sep 23, 2026","@dominic_grauso Before you know it, you'll be receiving notis if two or more of your favorites are on the same side.",https://x.com/Real_NHL_Savant/status/2102854309629088223,30,2,3,0,0,0,0,0,1,0,0,0,0
2102854127676256477,"Wed, Sep 23, 2026",@CharmCity87 Thorn in my side sometimes. turn them off wait 30 seconds and turn them back on.. if that doesnt work DM and I will help you.,https://x.com/Real_NHL_Savant/status/2102854127676256477,38,0,5,0,0,0,2,0,0,3,0,0,0
2102853863439253888,"Wed, Sep 23, 2026",@dominic_grauso Early sharp money feels like it does better. I'll have to take a closer look.. Framber was dealing the first few innings.,https://x.com/Real_NHL_Savant/status/2102853863439253888,53,1,4,0,0,0,1,0,0,2,0,0,0
2102853365403201953,"Wed, Sep 23, 2026","@dominic_grauso So much opportunity there for people to find an even better way to utilize the data. Somebody else sent me this, their saved sharp plays from last night. https://t.co/QsKgaRAWFL",https://x.com/Real_NHL_Savant/status/2102853365403201953,57,1,13,0,0,0,1,0,1,3,0,0,0
