Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2094809909925748851,"Tue, Sep 1, 2026",@JPWilliams37 Agreed. The old pathways most people don’t know about.. happy to talk further about it. But the unit tiers are more simple and easier for people to see performance lately,https://x.com/Real_NHL_Savant/status/2094809909925748851,27,1,4,0,0,0,0,0,0,3,0,0,0
2094805237575962805,"Tue, Sep 1, 2026",@JPWilliams37 Okay big month loading!,https://x.com/Real_NHL_Savant/status/2094805237575962805,35,1,2,0,0,0,0,0,1,0,0,0,0
2094805027860763134,"Tue, Sep 1, 2026",Here is how the last 30 days played. We really were on something this month. And I feel like a big September is in store. Unit tier performance is not live on the performance tracker. https://t.co/689cuedZcG,https://x.com/Real_NHL_Savant/status/2094805027860763134,754,4,44,0,0,0,1,0,4,7,0,0,0
2094803428216119373,"Tue, Sep 1, 2026","@JPWilliams37 Officially tracking may be gone, but hopefully it’s still been positive?",https://x.com/Real_NHL_Savant/status/2094803428216119373,41,0,1,0,0,0,1,0,0,0,0,0,0
2094801409568805269,"Tue, Sep 1, 2026","Thankful to have someone like Dom willing to dive in. Took a couple weeks to get him adjusted to focusing on the higher unit tiers. You can see the success. Profitable even with that 1 disaster day we had. Not featured in the chart. How much time and money you can save, not",https://x.com/Real_NHL_Savant/status/2094801409568805269,918,10,35,0,0,0,1,1,10,12,0,0,0
2094778969182630035,"Tue, Sep 1, 2026",@JamKam77 @OddsJam Oh man I didn’t realize we were going head to head again last night. And for sure when it comes to positions/liquidity there is far more than meets the eye!,https://x.com/Real_NHL_Savant/status/2094778969182630035,101,4,6,0,0,0,0,0,0,2,0,0,0
2094716139875999923,"Tue, Sep 1, 2026",This is a thing? Show me my report card based on my X account @grok please,https://x.com/Real_NHL_Savant/status/2094716139875999923,695,2,21,0,0,0,1,0,11,7,0,0,0
2094673188902875141,"Tue, Sep 1, 2026","@matt28644 Welcome! That is awesome to hear... I do believe regardless of whether you follow the locked plays or not, there is some data that really helps with decision making here.",https://x.com/Real_NHL_Savant/status/2094673188902875141,31,0,1,0,0,0,0,0,1,0,0,0,0
2094539058819023276,"Mon, Aug 31, 2026",@JamKam77 One play at a time!,https://x.com/Real_NHL_Savant/status/2094539058819023276,60,0,1,0,0,0,0,0,1,0,0,0,0
2094538995543773192,"Mon, Aug 31, 2026",@JPWilliams37 Made some updates today.. I think we will start to see this come to fruition.,https://x.com/Real_NHL_Savant/status/2094538995543773192,57,1,3,0,0,0,0,0,1,1,0,0,0
2094492635742277807,"Mon, Aug 31, 2026",@JoMaddenSports @grok Show me my report card based on my X account @grok please,https://x.com/Real_NHL_Savant/status/2094492635742277807,514,0,24,1,0,0,1,0,16,7,0,0,0
2094452657574301945,"Mon, Aug 31, 2026",+46.8u IN AUGUST. ALMOST 3× JULY. July we hit more often. 55% vs 53%. July made +17u. We didn’t get hotter. We sized our plays better. 5u+ went 56-22. +65.6u on 78 tickets. The 1u book was 168 tickets. 76-92. −20.3u. Big changes coming here. Twice as many small ones as https://t.co/hpBrmZLawr,https://x.com/Real_NHL_Savant/status/2094452657574301945,1209,22,94,1,0,1,3,0,27,29,0,0,0
2094354816659067053,"Mon, Aug 31, 2026",@RirohBets They were indeed wrong here.,https://x.com/Real_NHL_Savant/status/2094354816659067053,75,0,1,0,0,0,0,0,0,1,0,0,0
2094226060032274932,"Mon, Aug 31, 2026",@34_bricks Let’s get one!,https://x.com/Real_NHL_Savant/status/2094226060032274932,73,0,3,0,0,0,0,0,2,1,0,0,0
2094209059465371901,"Sun, Aug 30, 2026",@bigda05 lol nope already put out into the universe!,https://x.com/Real_NHL_Savant/status/2094209059465371901,101,0,2,0,0,0,0,0,1,1,0,0,0
2094204304257167594,"Sun, Aug 30, 2026",$120K AT 2× USUAL on Cubs ML. +$545K the last 30 days. 12-4 · 75%. CIN @ CHC · 3.0u at −153. 97% of the proven money is here. 83% of the losing money is on the Reds. It’s contested. Four sharps fighting him. Same game — another sharp steamed Cubs −1.5 at +138. $8.9K at https://t.co/HIBy6rU0Md,https://x.com/Real_NHL_Savant/status/2094204304257167594,2384,11,237,1,1,0,5,1,34,36,0,0,0
2094183630813728858,"Sun, Aug 30, 2026","Bounced back with two straight 10+ days. +112.91u on v12 since June 1… ATH is loading again. Picked up right where we left off. 7–0. Under cashed. I can’t promise we win them all.. but we will keep tracking sharp action, and when it makes sense, we will be on their tickets. https://t.co/tsFkZwclVS",https://x.com/Real_NHL_Savant/status/2094183630813728858,1967,15,109,0,0,1,0,0,35,9,0,0,0
2094178914998382917,"Sun, Aug 30, 2026",@dominic_grauso @34_bricks Those A tier sharps I agree. Are tough to pass on.,https://x.com/Real_NHL_Savant/status/2094178914998382917,79,0,3,0,0,0,0,0,1,2,0,0,0
2094169620596879601,"Sun, Aug 30, 2026",@PoppaVic_ Very nice win! Let’s keep cashing!,https://x.com/Real_NHL_Savant/status/2094169620596879601,77,1,2,1,0,0,0,0,0,1,0,0,0
2094132893551304883,"Sun, Aug 30, 2026",@PoppaVic_ Appreciate you! Let’s cash a couple more tonight.,https://x.com/Real_NHL_Savant/status/2094132893551304883,92,1,3,0,0,0,1,0,1,0,0,0,0
2094120456416547256,"Sun, Aug 30, 2026",@priyasharmiyi Thank you. Just to continue the success,https://x.com/Real_NHL_Savant/status/2094120456416547256,26,0,0,0,0,0,0,0,0,0,0,0,0
2094119065455341668,"Sun, Aug 30, 2026",Yesterday we got back to winning.. Today a proven wallet sized up to $6K on SEA @ TOR Under 7.5. 5.4u at +103. A lot of sharp action is locking in. This is the one I like the look of. Usual is $5.5K — 1.1×. +$26K last 30. Other side: $2.1K from a 22% WR / −51% ROI wallet. A https://t.co/NhPnkNIdXh,https://x.com/Real_NHL_Savant/status/2094119065455341668,2897,9,168,0,0,0,2,0,26,12,0,0,0
