date,team,opponent,odds,grade,ev,units,result,profit
2025-11-28,Clemson,Alabama A&M,-30000,D,-2.1%,N/A,WIN,0.00u
2025-11-28,Ball State,Monmouth,148,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,BYU,Dayton,-500,F,-18.2%,N/A,WIN,0.10u
2025-11-28,South Carolina,Charleston Southern,-2500,F,-10.3%,N/A,WIN,0.02u
2025-11-28,Youngstown State,Chicago State,-1200,F,-8.0%,N/A,WIN,0.04u
2025-11-28,Missouri,Cleveland State,-50000,F,-4.7%,N/A,WIN,0.00u
2025-11-28,Colgate,Albany,-275,B+,0.1%,N/A,WIN,0.73u
2025-11-28,Georgia Tech,DePaul,105,A+,21.2%,N/A,LOSS,-5.00u
2025-11-28,LSU,Drake,-700,F,-19.0%,N/A,WIN,0.14u
2025-11-28,Illinois State,Furman,-190,D,-1.1%,N/A,WIN,0.26u
2025-11-28,Hofstra,La Salle,-140,F,-9.1%,N/A,WIN,0.36u
2025-11-28,Connecticut,Illinois,-165,F,-9.3%,N/A,WIN,0.30u
2025-11-28,Louisiana,Jackson State,-245,F,-18.7%,N/A,LOSS,-0.50u
2025-11-28,Lafayette,Le Moyne,-200,C,2.8%,N/A,LOSS,-0.50u
2025-11-28,American University,Maine,-290,F,-18.4%,N/A,WIN,0.17u
2025-11-28,Pennsylvania,Merrimack,-156,F,-13.4%,N/A,WIN,0.32u
2025-11-28,Georgetown,Miami (FL),198,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,Santa Clara,Minnesota,-225,B,-6.0%,N/A,WIN,0.66u
2025-11-28,San Francisco,Nevada,-230,F,-15.8%,N/A,LOSS,-0.50u
2025-11-28,Tulane,Nicholls State,-450,F,-7.4%,N/A,WIN,0.11u
2025-11-28,Wake Forest,Northeastern,-2500,F,-2.8%,N/A,WIN,0.02u
2025-11-28,Davidson,North Carolina A&T,-1400,F,-10.3%,N/A,WIN,0.04u
2025-11-28,Ohio State,Pittsburgh,-220,F,-11.5%,N/A,LOSS,-0.50u
2025-11-28,Marquette,Oklahoma,110,A+,22.8%,N/A,LOSS,-5.00u
2025-11-28,Florida,Providence,-670,B,-0.3%,N/A,WIN,0.22u
2025-11-28,Virginia,Queens University of Charlotte,-10000,F,-13.5%,N/A,WIN,0.01u
2025-11-28,Richmond,Charlotte,-280,F,-18.4%,N/A,WIN,0.18u
2025-11-28,Sam Houston State,Idaho,-110,A+,10.0%,N/A,WIN,4.55u
2025-11-28,Siena,Longwood,-250,F,-18.9%,N/A,WIN,0.20u
2025-11-28,Mississippi State,SMU,-102,A+,10.1%,N/A,LOSS,-5.00u
2025-11-28,Robert Morris,Southern Utah,-420,B+,5.1%,N/A,WIN,0.48u
2025-11-28,Colorado State,South Florida,114,A+,25.0%,N/A,WIN,5.70u
2025-11-28,Saint Louis,Stanford,-180,F,-20.4%,N/A,LOSS,-0.50u
2025-11-28,Seattle,Texas State,-290,F,-2.3%,N/A,WIN,0.17u
2025-11-28,UC Santa Barbara,Lehigh,-600,F,-14.0%,N/A,WIN,0.08u
2025-11-28,Saint Mary's,Vanderbilt,150,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,Virginia Tech,Virginia Commonwealth,126,A+,20.2%,N/A,LOSS,-5.00u
2025-11-28,Colorado,Washington,158,A+,25.0%,N/A,WIN,7.90u
2025-11-28,Wichita State,Western Kentucky,-250,B,-5.2%,N/A,LOSS,-1.50u
2025-11-28,Wisconsin,TCU,-270,F,-4.3%,N/A,LOSS,-1.00u
2025-11-28,Butler,Wright State,-1600,F,-4.8%,N/A,WIN,0.03u
2025-11-29,South Dakota,Air Force,-165,D,2.0%,N/A,WIN,0.30u
2025-11-29,Fordham,Albany,-250,F,-3.2%,N/A,LOSS,-0.50u
2025-11-29,Southern Illinois,Arkansas-Little Rock,-1100,F,-18.3%,N/A,WIN,0.05u
2025-11-29,Ball State,Lafayette,-125,F,-2.4%,N/A,LOSS,-0.50u
2025-11-29,Indiana,Bethune-Cookman,-20000,F,-3.4%,N/A,WIN,0.00u
2025-11-29,Northern Kentucky,Boston University,-230,D,-1.6%,N/A,WIN,0.22u
2025-11-29,Harvard,Bryant University,-380,F,-24.4%,N/A,WIN,0.13u
2025-11-29,Buffalo,Canisius,-375,F,-7.9%,N/A,WIN,0.13u
2025-11-29,Oregon State,California Baptist,-110,A+,14.5%,N/A,LOSS,-1.00u
2025-11-29,East Tennessee State,Central Arkansas,-600,F,-6.3%,N/A,WIN,0.08u
2025-11-29,Dartmouth,Saint Peter's,104,A+,4.3%,N/A,WIN,5.20u
2025-11-29,UMBC,Delaware State,-900,F,-25.5%,N/A,WIN,0.06u
2025-11-29,LSU,DePaul,-250,C,-1.7%,N/A,WIN,0.20u
2025-11-29,Niagara,Detroit Mercy,120,A+,17.2%,N/A,LOSS,-5.00u
2025-11-29,Georgia Tech,Drake,-170,F,-9.1%,N/A,WIN,0.29u
2025-11-29,Georgia Southern,Houston Christian,-280,F,-11.4%,N/A,WIN,0.18u
2025-11-29,Mount St. Mary's,Howard,-135,A+,17.5%,N/A,WIN,3.70u
2025-11-29,George Mason,James Madison,-715,F,-7.1%,N/A,WIN,0.07u
2025-11-29,Weber State,Kansas City,-625,F,-16.1%,N/A,WIN,0.08u
2025-11-29,Pennsylvania,La Salle,-167,F,-11.7%,N/A,WIN,0.30u
2025-11-29,Southeast Missouri State,Lipscomb,-130,F,-0.2%,N/A,LOSS,-0.50u
2025-11-29,Longwood,Maine,-200,D,-2.5%,N/A,LOSS,-0.50u
2025-11-29,Manhattan,Army,-120,A+,23.6%,N/A,LOSS,-5.00u
2025-11-29,Elon,Mercer,-120,A+,19.9%,N/A,LOSS,-5.00u
2025-11-29,Hofstra,Merrimack,-225,F,-13.4%,N/A,WIN,0.22u
2025-11-29,Akron,Milwaukee,-1000,F,-5.3%,N/A,WIN,0.05u
2025-11-29,Monmouth,Le Moyne,-300,F,-9.6%,N/A,LOSS,-0.50u
2025-11-29,Utah State,Montana State,-3000,F,-3.8%,N/A,WIN,0.02u
2025-11-29,IUPUI,Morehead State,-143,A,5.9%,N/A,WIN,2.80u
