team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,28,0.58,0.56,0.59,3982.0,75.54,16.43,5.21,13.93,2.62,38.87,23.94,15.41,16.43,15.41,71.0,30.0,27.0,128.0,13.0,10.0,1.0,12.0,1.0,38.0,27.0,58.0,88.0,1.0,2.0,54.0,11.0,9.0,13.0,51.0,23.0,27.0,2.0,2.9,11.53,2.0,4.0,7.0,128.0,101.0,101.0,9.0,1.41,3.29,3.29,14.55,14.55,14.19,51.61,11.8,3.88,8.74,1.8,28.08,15.7,11.08,11.8,11.08,45.0,25.0,30.0,100.0,12.0,6.0,1.0,5.0,1.0,25.0,21.0,33.0,58.0,1.0,2.0,40.0,11.0,10.0,22.0,38.0,14.0,18.0,1.67,1.85,8.28,3.0,2.0,7.0,100.0,70.0,70.0,12.0,1.09,2.1,2.1,10.79,10.79,10.45
NYI,2025,NYI,NYI,Team Level,all,28,0.49,0.5,0.52,102385.0,914.96,96.98,64.52,217.98,31.43,490.24,345.85,91.47,96.6,91.14,832.0,415.0,424.0,1671.0,83.0,112.0,9.0,177.0,2.0,427.0,446.0,749.0,1164.0,91.0,197.0,791.0,495.0,116.0,423.0,869.0,261.0,117.0,26.14,32.15,38.68,32.0,27.0,24.0,1664.96,1247.0,1241.17,213.0,14.48,24.89,25.14,86.32,85.95,83.65,867.2,99.9,64.22,202.94,28.68,450.41,320.84,93.54,100.53,94.17,769.0,398.0,473.0,1640.0,78.0,113.0,8.0,126.0,2.0,419.0,429.0,691.0,1089.0,100.0,223.0,733.0,551.0,119.0,442.0,763.0,265.0,139.0,22.88,33.85,43.17,21.0,34.0,23.0,1652.06,1167.0,1174.66,191.0,14.5,25.67,25.67,88.73,89.47,86.83
NYI,2025,NYI,NYI,Team Level,5on5,28,0.48,0.49,0.5,81541.0,658.11,60.85,42.32,166.31,22.21,351.56,256.74,58.67,60.48,58.34,589.0,311.0,329.0,1229.0,53.0,78.0,7.0,130.0,1.0,307.0,331.0,536.0,847.0,82.0,178.0,564.0,474.0,93.0,361.0,658.0,177.0,65.0,19.47,22.03,19.36,25.0,19.0,9.0,1222.96,900.0,894.17,184.0,8.78,16.64,16.89,52.74,52.38,51.6,651.61,66.23,44.66,159.71,21.47,341.82,252.11,63.18,66.86,63.8,580.0,306.0,386.0,1272.0,51.0,75.0,3.0,102.0,1.0,321.0,336.0,529.0,835.0,88.0,196.0,579.0,509.0,98.0,377.0,595.0,210.0,81.0,17.86,27.1,21.27,16.0,28.0,7.0,1284.06,886.0,893.66,160.0,9.32,16.09,16.18,59.37,60.12,58.79
NYI,2025,NYI,NYI,Team Level,4on5,28,0.11,0.14,0.17,7733.0,26.38,2.42,1.46,4.63,1.0,9.2,18.29,2.41,2.42,2.41,29.0,8.0,2.0,39.0,4.0,1.0,0.0,3.0,0.0,8.0,21.0,25.0,33.0,1.0,2.0,70.0,8.0,12.0,20.0,28.0,8.0,1.0,1.02,1.2,0.2,2.0,1.0,1.0,39.0,37.0,37.0,15.0,0.33,0.01,0.01,2.74,2.74,2.72,141.75,19.05,14.55,31.24,4.81,74.3,39.05,16.51,19.05,16.51,123.0,60.0,52.0,235.0,12.0,29.0,3.0,19.0,0.0,63.0,60.0,111.0,171.0,9.0,18.0,52.0,12.0,2.0,25.0,117.0,31.0,35.0,3.08,3.7,12.27,2.0,2.0,8.0,235.0,183.0,183.0,4.0,3.83,6.75,6.66,16.21,16.21,15.25
NYI,2025,NYI,NYI,Team Level,5on4,28,0.86,0.89,0.88,9129.0,154.92,17.27,15.53,33.1,5.61,90.61,46.88,14.99,17.27,14.99,143.0,66.0,66.0,275.0,13.0,23.0,1.0,32.0,0.0,74.0,67.0,130.0,196.0,7.0,15.0,103.0,2.0,2.0,29.0,132.0,53.0,24.0,3.65,6.02,7.59,3.0,3.0,7.0,275.0,209.0,209.0,5.0,3.96,4.95,4.95,16.29,16.29,15.14,22.23,2.82,1.13,3.25,0.61,6.21,13.99,2.77,2.82,2.77,21.0,7.0,5.0,33.0,3.0,3.0,1.0,0.0,0.0,10.0,12.0,18.0,25.0,2.0,7.0,62.0,19.0,9.0,18.0,13.0,10.0,5.0,0.27,1.2,1.35,0.0,2.0,1.0,33.0,28.0,28.0,15.0,0.26,0.73,0.73,2.35,2.35,2.34
CGY,2025,CGY,CGY,Team Level,other,29,0.42,0.44,0.41,4888.0,49.59,11.25,3.21,8.98,1.61,24.82,17.13,10.74,11.25,10.74,45.0,22.0,31.0,98.0,6.0,4.0,2.0,6.0,0.0,24.0,27.0,39.0,61.0,3.0,6.0,50.0,13.0,7.0,19.0,34.0,14.0,19.0,1.32,1.74,8.2,0.0,0.0,6.0,98.0,67.0,67.0,8.0,0.96,2.2,2.2,10.02,10.02,9.65,73.27,15.47,4.94,14.0,2.32,38.05,23.23,13.45,15.47,13.45,63.0,35.0,29.0,127.0,9.0,6.0,0.0,14.0,1.0,37.0,31.0,54.0,89.0,2.0,6.0,65.0,7.0,11.0,10.0,50.0,27.0,21.0,2.18,3.32,9.98,0.0,2.0,7.0,127.0,98.0,98.0,2.0,1.42,1.91,1.91,14.99,14.99,13.68
CGY,2025,CGY,CGY,Team Level,all,29,0.5,0.51,0.5,105832.0,922.66,92.29,62.11,223.21,30.54,486.43,356.41,88.84,92.54,89.1,848.0,403.0,512.0,1763.0,68.0,97.0,9.0,184.0,2.0,420.0,480.0,780.0,1183.0,113.0,261.0,828.0,641.0,119.0,476.0,915.0,225.0,111.0,25.6,29.23,37.47,27.0,16.0,25.0,1762.47,1251.0,1255.56,230.0,13.87,23.07,23.07,83.09,83.39,81.6,900.53,92.53,62.76,213.63,29.61,483.33,350.15,87.46,92.39,87.33,824.0,408.0,476.0,1708.0,86.0,86.0,7.0,198.0,4.0,412.0,446.0,738.0,1146.0,114.0,268.0,851.0,570.0,158.0,435.0,863.0,264.0,105.0,25.2,32.42,34.91,26.0,32.0,28.0,1707.69,1232.0,1227.14,182.0,14.24,17.21,17.26,89.51,89.42,86.59
CGY,2025,CGY,CGY,Team Level,5on5,29,0.54,0.52,0.53,82973.0,725.47,64.03,46.28,184.98,24.3,383.21,285.18,61.74,64.28,61.99,671.0,317.0,412.0,1400.0,48.0,75.0,4.0,154.0,1.0,339.0,371.0,623.0,940.0,90.0,213.0,619.0,599.0,102.0,412.0,737.0,181.0,70.0,20.22,23.97,19.85,24.0,15.0,9.0,1399.47,988.0,992.56,209.0,9.64,16.21,16.21,57.47,57.76,56.82,641.17,54.65,41.09,161.6,21.32,343.68,257.66,52.9,54.51,52.76,577.0,303.0,391.0,1271.0,59.0,57.0,2.0,153.0,2.0,302.0,307.0,518.0,821.0,104.0,246.0,642.0,548.0,133.0,380.0,648.0,178.0,54.0,18.15,21.8,14.7,25.0,22.0,12.0,1270.69,880.0,875.14,166.0,8.54,10.6,10.65,52.55,52.46,51.79
CGY,2025,CGY,CGY,Team Level,4on5,29,0.08,0.13,0.13,8993.0,23.46,1.7,1.0,3.53,0.75,7.32,17.71,1.63,1.7,1.63,26.0,6.0,10.0,42.0,3.0,2.0,0.0,3.0,0.0,6.0,18.0,23.0,29.0,6.0,14.0,83.0,22.0,5.0,11.0,25.0,6.0,1.0,0.69,0.78,0.23,2.0,1.0,0.0,42.0,32.0,32.0,8.0,0.23,0.39,0.39,1.54,1.54,1.51,157.58,18.98,15.09,33.97,5.07,92.08,49.82,17.71,18.98,17.71,154.0,61.0,55.0,270.0,16.0,21.0,4.0,29.0,1.0,69.0,79.0,138.0,199.0,5.0,10.0,73.0,2.0,4.0,25.0,143.0,47.0,25.0,4.31,5.73,8.94,0.0,8.0,8.0,270.0,215.0,215.0,2.0,3.9,4.37,4.37,18.5,18.5,17.65
CGY,2025,CGY,CGY,Team Level,5on4,29,0.82,0.85,0.81,8978.0,124.14,15.31,11.61,25.73,3.89,71.08,36.4,14.73,15.31,14.73,106.0,58.0,59.0,223.0,11.0,16.0,3.0,21.0,1.0,51.0,64.0,95.0,153.0,14.0,28.0,76.0,7.0,5.0,34.0,119.0,24.0,21.0,3.37,2.75,9.19,1.0,0.0,10.0,223.0,164.0,164.0,5.0,3.04,4.27,4.27,14.07,14.07,13.62,28.51,3.42,1.64,4.06,0.91,9.53,19.43,3.4,3.42,3.4,30.0,9.0,1.0,40.0,2.0,2.0,1.0,2.0,0.0,4.0,29.0,28.0,37.0,3.0,6.0,71.0,13.0,10.0,20.0,22.0,12.0,5.0,0.55,1.57,1.3,1.0,0.0,1.0,40.0,39.0,39.0,12.0,0.38,0.33,0.33,3.47,3.47,3.47
NSH,2025,NSH,NSH,Team Level,other,27,0.4,0.45,0.45,4306.0,60.35,12.45,4.37,11.62,2.09,32.74,18.74,11.74,12.45,11.74,61.0,21.0,21.0,103.0,9.0,7.0,1.0,16.0,0.0,27.0,23.0,52.0,73.0,0.0,0.0,64.0,9.0,8.0,10.0,42.0,21.0,19.0,1.64,2.58,8.23,1.0,4.0,4.0,103.0,82.0,82.0,2.0,1.32,2.34,1.68,12.1,12.1,11.46,74.21,18.29,5.07,12.92,2.42,38.17,25.13,17.25,18.29,17.25,66.0,36.0,26.0,128.0,17.0,4.0,2.0,10.0,0.0,35.0,36.0,49.0,85.0,6.0,12.0,58.0,6.0,5.0,10.0,52.0,25.0,25.0,1.89,3.27,13.12,0.0,7.0,10.0,128.0,102.0,102.0,3.0,1.49,1.63,1.63,18.16,18.16,17.64
NSH,2025,NSH,NSH,Team Level,all,27,0.48,0.53,0.5,98776.0,829.12,87.27,58.02,197.79,27.63,449.98,316.31,82.34,86.39,81.51,752.0,385.0,480.0,1617.0,70.0,96.0,11.0,156.0,1.0,428.0,386.0,682.0,1067.0,104.0,230.0,844.0,537.0,140.0,426.0,816.0,211.0,110.0,24.24,26.35,36.68,22.0,23.0,25.0,1586.43,1137.0,1119.3,200.0,13.01,21.47,21.47,78.81,78.07,75.25,822.49,93.12,58.03,192.67,27.54,433.37,315.27,88.9,94.9,90.58,745.0,375.0,322.0,1442.0,94.0,79.0,16.0,176.0,1.0,361.0,409.0,651.0,1026.0,105.0,228.0,754.0,550.0,123.0,421.0,770.0,244.0,106.0,21.93,31.58,39.61,26.0,37.0,31.0,1471.56,1120.0,1141.44,197.0,13.11,17.59,17.59,88.63,90.12,88.05
NSH,2025,NSH,NSH,Team Level,5on5,27,0.51,0.53,0.51,78178.0,634.56,58.96,42.31,157.91,21.08,341.69,250.04,56.77,58.08,55.94,567.0,305.0,398.0,1270.0,47.0,70.0,7.0,118.0,1.0,331.0,305.0,520.0,825.0,89.0,200.0,622.0,501.0,110.0,368.0,640.0,161.0,71.0,18.99,20.17,19.8,17.0,16.0,14.0,1239.43,872.0,854.3,182.0,8.8,15.14,15.14,52.63,51.89,50.91,620.4,57.19,41.17,155.13,20.82,331.49,244.21,54.98,58.96,56.66,563.0,287.0,258.0,1108.0,63.0,59.0,13.0,148.0,1.0,270.0,309.0,500.0,787.0,88.0,194.0,572.0,519.0,99.0,365.0,613.0,180.0,57.0,17.66,22.89,16.63,25.0,24.0,14.0,1137.56,850.0,871.44,183.0,8.59,12.99,12.99,52.78,54.26,53.31
NSH,2025,NSH,NSH,Team Level,4on5,27,0.07,0.12,0.13,7982.0,14.85,1.12,0.67,2.42,0.5,5.19,11.1,1.11,1.12,1.11,18.0,3.0,3.0,24.0,1.0,2.0,0.0,3.0,0.0,4.0,11.0,17.0,20.0,6.0,12.0,76.0,18.0,16.0,13.0,16.0,4.0,1.0,0.4,0.48,0.23,1.0,0.0,0.0,24.0,21.0,21.0,10.0,0.15,0.24,0.24,1.03,1.03,1.03,103.26,15.4,10.73,21.08,3.57,56.61,28.61,14.47,15.4,14.47,91.0,45.0,38.0,174.0,14.0,14.0,1.0,18.0,0.0,48.0,42.0,77.0,122.0,3.0,6.0,54.0,9.0,10.0,34.0,79.0,36.0,21.0,1.5,4.91,9.0,1.0,6.0,7.0,174.0,136.0,136.0,2.0,2.77,2.52,2.52,15.66,15.66,15.07
NSH,2025,NSH,NSH,Team Level,5on4,27,0.87,0.87,0.84,8310.0,119.37,14.74,10.67,25.84,3.96,70.37,36.42,12.72,14.74,12.72,106.0,56.0,58.0,220.0,13.0,17.0,3.0,19.0,0.0,66.0,47.0,93.0,149.0,9.0,18.0,82.0,9.0,6.0,35.0,118.0,25.0,19.0,3.21,3.12,8.41,3.0,3.0,7.0,220.0,162.0,162.0,6.0,2.73,3.76,4.42,13.05,13.05,11.84,24.62,2.24,1.07,3.53,0.74,7.11,17.31,2.21,2.24,2.21,25.0,7.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,8.0,22.0,25.0,32.0,8.0,16.0,70.0,16.0,9.0,12.0,26.0,3.0,3.0,0.87,0.51,0.86,0.0,0.0,0.0,32.0,32.0,32.0,9.0,0.24,0.45,0.45,2.04,2.04,2.03
NYR,2025,NYR,NYR,Team Level,other,29,0.38,0.46,0.44,3033.0,38.3,9.52,2.67,6.11,1.42,24.09,14.2,8.91,9.52,8.91,32.0,26.0,27.0,85.0,11.0,2.0,2.0,7.0,0.0,23.0,15.0,21.0,47.0,1.0,2.0,39.0,2.0,5.0,10.0,28.0,14.0,16.0,1.17,1.72,6.63,0.0,4.0,7.0,85.0,58.0,58.0,6.0,0.73,0.3,0.3,9.94,9.94,9.29,52.09,15.51,3.86,8.23,1.98,28.78,15.64,15.04,15.51,15.04,42.0,32.0,27.0,101.0,12.0,6.0,0.0,1.0,0.0,32.0,23.0,30.0,62.0,1.0,2.0,32.0,8.0,2.0,9.0,31.0,23.0,20.0,1.19,2.89,11.42,0.0,2.0,10.0,101.0,74.0,74.0,3.0,1.08,1.13,0.47,16.12,16.12,15.62
NYR,2025,NYR,NYR,Team Level,all,29,0.48,0.5,0.49,105256.0,885.56,90.61,61.65,211.94,29.79,484.93,343.08,87.24,91.97,88.54,767.0,455.0,507.0,1729.0,78.0,78.0,9.0,167.0,1.0,459.0,439.0,689.0,1144.0,92.0,199.0,858.0,748.0,135.0,410.0,856.0,266.0,100.0,23.57,32.96,34.09,24.0,29.0,25.0,1745.05,1222.0,1234.96,202.0,13.67,16.82,16.85,87.43,88.62,86.25,916.48,98.24,61.89,220.43,30.61,492.41,349.42,93.02,98.07,92.82,825.0,428.0,479.0,1732.0,75.0,101.0,11.0,158.0,3.0,429.0,487.0,750.0,1178.0,73.0,165.0,740.0,574.0,116.0,469.0,902.0,246.0,105.0,26.61,30.98,40.65,26.0,23.0,26.0,1727.49,1253.0,1250.62,236.0,13.8,22.44,22.44,89.6,89.4,86.65
NYR,2025,NYR,NYR,Team Level,5on5,29,0.51,0.5,0.5,87505.0,692.57,63.14,45.32,174.67,23.37,375.63,272.86,61.27,64.5,62.57,591.0,364.0,420.0,1375.0,52.0,66.0,6.0,143.0,1.0,355.0,338.0,539.0,903.0,88.0,191.0,689.0,708.0,109.0,354.0,682.0,213.0,60.0,19.04,26.6,17.49,23.0,22.0,7.0,1391.05,955.0,967.97,172.0,9.42,14.3,14.34,58.22,59.41,58.52,705.07,59.62,44.52,179.51,23.52,379.28,280.56,57.34,59.45,57.14,631.0,336.0,390.0,1357.0,44.0,71.0,5.0,135.0,3.0,319.0,395.0,587.0,923.0,68.0,153.0,572.0,550.0,108.0,403.0,741.0,167.0,59.0,21.57,21.18,16.87,22.0,16.0,6.0,1352.49,967.0,964.62,211.0,9.22,14.51,14.83,53.99,53.79,52.91
NYR,2025,NYR,NYR,Team Level,4on5,29,0.1,0.11,0.13,7797.0,23.0,2.38,1.24,3.21,0.63,6.8,14.75,2.3,2.38,2.3,24.0,5.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,3.0,23.0,22.0,27.0,3.0,6.0,57.0,33.0,9.0,21.0,17.0,8.0,4.0,0.42,0.99,0.98,1.0,1.0,0.0,30.0,29.0,29.0,17.0,0.28,0.0,0.0,2.66,2.66,2.56,140.74,21.01,12.52,30.27,4.55,78.89,40.77,18.55,21.01,18.55,134.0,54.0,60.0,248.0,17.0,23.0,6.0,21.0,0.0,77.0,50.0,117.0,171.0,1.0,2.0,84.0,7.0,2.0,33.0,116.0,47.0,25.0,3.29,5.78,11.93,3.0,4.0,10.0,248.0,188.0,188.0,5.0,3.28,6.72,7.05,17.24,17.24,15.87
NYR,2025,NYR,NYR,Team Level,5on4,29,0.88,0.9,0.88,6921.0,131.69,15.58,12.41,27.95,4.37,78.42,41.27,14.76,15.58,14.76,120.0,60.0,59.0,239.0,13.0,10.0,1.0,16.0,0.0,78.0,63.0,107.0,167.0,0.0,0.0,73.0,5.0,12.0,25.0,129.0,31.0,20.0,2.95,3.65,8.99,0.0,2.0,11.0,239.0,180.0,180.0,7.0,3.24,2.21,2.21,16.6,16.6,15.89,18.58,2.11,0.99,2.42,0.57,5.47,12.45,2.09,2.11,2.09,18.0,6.0,2.0,26.0,2.0,1.0,0.0,1.0,0.0,1.0,19.0,16.0,22.0,3.0,8.0,52.0,9.0,4.0,24.0,14.0,9.0,1.0,0.55,1.13,0.42,1.0,1.0,0.0,26.0,24.0,24.0,17.0,0.22,0.08,0.08,2.25,2.25,2.25
BUF,2025,BUF,BUF,Team Level,other,27,0.34,0.43,0.41,3112.0,37.76,8.14,2.59,7.57,1.27,19.35,12.09,7.39,8.14,7.39,25.0,26.0,27.0,78.0,4.0,4.0,0.0,3.0,0.0,22.0,18.0,21.0,47.0,2.0,4.0,30.0,6.0,6.0,15.0,26.0,16.0,9.0,1.04,2.07,5.03,0.0,1.0,3.0,78.0,51.0,51.0,3.0,0.76,1.23,1.23,7.66,7.66,7.31,54.29,16.11,3.5,9.3,1.73,25.21,17.13,14.05,16.11,14.05,51.0,22.0,29.0,102.0,15.0,4.0,0.0,9.0,0.0,28.0,17.0,36.0,58.0,0.0,0.0,48.0,9.0,6.0,3.0,34.0,13.0,26.0,1.59,1.52,13.01,1.0,5.0,9.0,102.0,73.0,73.0,1.0,1.06,1.97,1.97,15.21,15.21,13.75
BUF,2025,BUF,BUF,Team Level,all,27,0.5,0.49,0.49,98300.0,863.86,89.76,59.92,208.74,28.58,464.02,326.97,84.15,88.82,83.24,777.0,401.0,428.0,1606.0,81.0,93.0,9.0,175.0,0.0,424.0,405.0,696.0,1097.0,91.0,205.0,691.0,521.0,134.0,426.0,830.0,245.0,103.0,24.18,30.55,35.03,26.0,38.0,17.0,1584.01,1178.0,1159.99,207.0,13.32,20.66,20.66,82.42,81.66,77.99,905.06,89.94,60.53,220.09,29.74,476.98,348.73,84.27,91.12,85.44,817.0,409.0,469.0,1695.0,92.0,88.0,10.0,188.0,0.0,442.0,416.0,725.0,1134.0,97.0,212.0,888.0,554.0,123.0,399.0,907.0,214.0,105.0,24.66,26.94,38.34,27.0,39.0,26.0,1717.51,1226.0,1246.09,194.0,13.7,19.07,19.07,84.57,85.71,82.28
BUF,2025,BUF,BUF,Team Level,5on5,27,0.53,0.5,0.5,79249.0,675.74,63.75,44.25,170.06,22.4,360.89,261.65,60.97,62.8,60.06,615.0,308.0,356.0,1279.0,60.0,78.0,8.0,135.0,0.0,327.0,323.0,555.0,863.0,83.0,189.0,538.0,485.0,115.0,372.0,663.0,187.0,73.0,19.14,23.43,21.18,24.0,27.0,9.0,1257.01,923.0,904.99,187.0,9.21,18.02,18.02,54.93,54.17,52.9,690.76,57.62,42.65,174.82,22.48,361.44,277.0,55.39,58.8,56.57,615.0,321.0,363.0,1299.0,66.0,67.0,9.0,141.0,0.0,332.0,330.0,549.0,870.0,90.0,198.0,650.0,524.0,100.0,364.0,708.0,170.0,58.0,19.57,21.84,16.21,23.0,32.0,11.0,1321.51,936.0,956.09,181.0,8.87,13.61,13.61,52.87,54.01,52.9
BUF,2025,BUF,BUF,Team Level,4on5,27,0.13,0.09,0.11,7924.0,17.27,2.22,1.01,2.49,0.61,5.97,11.69,2.18,2.22,2.18,18.0,6.0,3.0,27.0,3.0,1.0,0.0,2.0,0.0,5.0,13.0,15.0,21.0,2.0,4.0,60.0,25.0,10.0,14.0,16.0,4.0,4.0,0.6,0.46,1.16,1.0,2.0,0.0,27.0,24.0,24.0,10.0,0.23,0.41,0.41,2.04,2.04,2.02,146.45,15.08,13.52,33.8,5.04,85.08,44.48,13.7,15.08,13.7,135.0,62.0,72.0,269.0,10.0,17.0,1.0,36.0,0.0,77.0,57.0,125.0,187.0,5.0,10.0,97.0,6.0,6.0,20.0,149.0,29.0,19.0,3.1,3.35,8.64,3.0,2.0,5.0,269.0,197.0,197.0,2.0,3.59,3.49,3.49,15.17,15.17,14.31
BUF,2025,BUF,BUF,Team Level,5on4,27,0.93,0.9,0.9,8015.0,133.1,15.66,12.07,28.62,4.3,77.82,41.53,13.62,15.66,13.62,119.0,61.0,42.0,222.0,14.0,10.0,1.0,35.0,0.0,70.0,51.0,105.0,166.0,4.0,8.0,63.0,5.0,3.0,25.0,125.0,38.0,17.0,3.41,4.6,7.66,1.0,8.0,5.0,222.0,180.0,180.0,7.0,3.12,1.0,1.0,17.78,17.78,15.75,13.56,1.13,0.85,2.17,0.49,5.25,10.12,1.12,1.13,1.12,16.0,4.0,5.0,25.0,1.0,0.0,0.0,2.0,0.0,5.0,12.0,15.0,19.0,2.0,4.0,93.0,15.0,11.0,12.0,16.0,2.0,2.0,0.41,0.23,0.48,0.0,0.0,1.0,25.0,20.0,20.0,10.0,0.19,0.0,0.0,1.32,1.32,1.32
PIT,2025,PIT,PIT,Team Level,other,26,0.57,0.41,0.38,2279.0,27.59,9.9,1.61,4.04,0.85,12.58,10.03,9.22,9.9,9.22,30.0,9.0,17.0,56.0,13.0,2.0,0.0,1.0,0.0,9.0,14.0,17.0,26.0,2.0,4.0,25.0,5.0,3.0,7.0,17.0,7.0,15.0,0.7,0.91,8.29,2.0,1.0,10.0,56.0,39.0,39.0,3.0,0.46,0.91,0.91,9.44,9.44,9.42,47.08,7.49,3.32,8.63,1.68,27.8,16.08,6.59,7.49,6.59,40.0,25.0,16.0,81.0,5.0,6.0,0.0,9.0,0.0,24.0,21.0,35.0,60.0,2.0,4.0,23.0,3.0,1.0,7.0,40.0,14.0,11.0,1.71,1.71,4.07,2.0,2.0,1.0,81.0,65.0,65.0,1.0,0.95,1.67,1.67,6.77,6.77,6.43
PIT,2025,PIT,PIT,Team Level,all,26,0.52,0.48,0.49,94853.0,788.25,91.23,55.82,184.95,26.35,413.48,306.18,85.64,92.25,86.61,707.0,371.0,396.0,1474.0,83.0,91.0,10.0,133.0,4.0,348.0,419.0,624.0,995.0,84.0,177.0,686.0,415.0,113.0,427.0,741.0,229.0,108.0,22.76,29.2,39.26,29.0,21.0,33.0,1490.27,1078.0,1091.13,187.0,12.35,21.5,21.97,81.61,82.41,79.83,831.57,83.92,58.61,197.05,27.8,449.76,317.85,79.51,83.76,79.37,748.0,387.0,444.0,1579.0,71.0,85.0,6.0,153.0,2.0,401.0,423.0,677.0,1064.0,71.0,154.0,685.0,599.0,117.0,430.0,786.0,251.0,98.0,23.0,31.85,29.06,27.0,30.0,14.0,1567.76,1135.0,1128.1,189.0,13.0,18.4,18.46,78.46,78.42,76.23
PIT,2025,PIT,PIT,Team Level,5on5,26,0.49,0.49,0.5,78679.0,637.16,60.84,43.73,155.55,21.41,340.56,251.91,58.23,61.87,59.21,564.0,310.0,340.0,1214.0,48.0,62.0,6.0,118.0,4.0,298.0,344.0,516.0,826.0,79.0,169.0,528.0,383.0,99.0,373.0,622.0,191.0,61.0,18.73,24.53,17.58,23.0,15.0,10.0,1230.27,874.0,887.13,165.0,9.12,13.63,14.09,55.87,56.67,55.2,647.05,62.86,43.11,160.59,21.6,342.38,251.46,60.16,62.7,60.02,584.0,298.0,373.0,1255.0,53.0,69.0,5.0,120.0,2.0,302.0,336.0,531.0,829.0,65.0,142.0,541.0,579.0,105.0,387.0,614.0,198.0,70.0,17.81,25.51,19.54,24.0,22.0,7.0,1243.76,882.0,875.1,177.0,9.0,15.07,15.12,56.75,56.71,55.54
PIT,2025,PIT,PIT,Team Level,4on5,26,0.1,0.14,0.16,7856.0,22.66,1.33,1.01,3.37,0.79,7.9,17.6,1.32,1.33,1.32,21.0,11.0,3.0,35.0,1.0,3.0,1.0,1.0,0.0,1.0,26.0,20.0,31.0,1.0,2.0,62.0,21.0,7.0,21.0,27.0,5.0,0.0,0.76,0.58,0.0,1.0,0.0,0.0,35.0,32.0,32.0,17.0,0.24,0.17,0.17,1.4,1.4,1.39,118.18,11.37,11.25,25.08,3.97,74.05,37.28,10.63,11.37,10.63,103.0,60.0,52.0,215.0,11.0,8.0,1.0,21.0,0.0,67.0,56.0,92.0,152.0,4.0,8.0,80.0,5.0,6.0,26.0,118.0,31.0,14.0,2.95,3.81,4.62,1.0,4.0,6.0,215.0,163.0,163.0,3.0,2.84,1.17,1.17,13.04,13.04,12.37
