team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2025,LAK,LAK,Team Level,other,27,0.58,0.54,0.51,3451.0,64.16,15.81,5.01,10.73,2.11,35.05,18.29,14.37,15.81,14.37,55.0,32.0,37.0,124.0,14.0,6.0,3.0,6.0,2.0,39.0,20.0,41.0,73.0,1.0,2.0,50.0,15.0,7.0,21.0,42.0,19.0,26.0,1.64,2.38,11.8,2.0,2.0,10.0,124.0,87.0,87.0,7.0,1.48,2.2,2.2,15.1,15.1,13.75,59.26,11.37,4.33,12.27,2.06,32.74,19.23,9.64,11.37,9.64,54.0,28.0,22.0,104.0,8.0,0.0,0.0,16.0,0.0,34.0,24.0,46.0,74.0,5.0,10.0,59.0,8.0,6.0,12.0,36.0,34.0,12.0,1.53,4.46,5.37,2.0,2.0,4.0,104.0,82.0,82.0,0.0,1.27,0.0,0.0,12.63,12.63,10.64
LAK,2025,LAK,LAK,Team Level,all,27,0.5,0.53,0.52,99672.0,852.55,83.82,59.65,206.23,28.44,462.65,333.21,79.96,83.7,79.87,770.0,404.0,517.0,1691.0,69.0,82.0,8.0,157.0,3.0,444.0,419.0,701.0,1105.0,88.0,194.0,747.0,457.0,114.0,446.0,846.0,237.0,91.0,22.57,30.27,30.99,21.0,26.0,22.0,1676.94,1174.0,1167.42,203.0,13.53,15.22,15.22,82.14,82.15,79.43,796.67,84.47,54.29,189.02,26.65,417.27,310.3,79.15,84.77,79.44,712.0,370.0,399.0,1481.0,70.0,82.0,6.0,153.0,0.0,360.0,417.0,642.0,1012.0,92.0,201.0,773.0,554.0,133.0,399.0,718.0,276.0,88.0,20.23,35.03,29.21,20.0,32.0,18.0,1490.43,1082.0,1090.57,171.0,12.17,16.92,16.92,79.72,80.07,76.85
LAK,2025,LAK,LAK,Team Level,5on5,27,0.5,0.53,0.52,80085.0,647.16,54.2,41.74,164.15,21.4,349.38,260.14,52.52,54.07,52.42,574.0,317.0,422.0,1313.0,43.0,55.0,4.0,127.0,1.0,341.0,324.0,531.0,848.0,79.0,176.0,553.0,426.0,93.0,376.0,661.0,183.0,47.0,17.64,23.51,13.04,16.0,22.0,5.0,1298.94,891.0,884.42,180.0,8.66,10.78,10.78,52.08,52.1,51.39,607.84,54.86,39.64,150.12,20.27,322.08,244.04,53.16,55.15,53.46,535.0,296.0,339.0,1170.0,44.0,63.0,4.0,109.0,0.0,283.0,332.0,491.0,787.0,81.0,177.0,567.0,524.0,106.0,335.0,579.0,200.0,52.0,15.62,25.41,13.83,14.0,23.0,7.0,1179.43,831.0,839.57,148.0,8.24,12.7,12.7,50.4,50.75,50.07
LAK,2025,LAK,LAK,Team Level,4on5,27,0.14,0.18,0.2,7858.0,23.83,2.65,1.43,3.32,0.77,8.27,16.57,2.51,2.65,2.51,29.0,4.0,3.0,36.0,4.0,2.0,1.0,4.0,0.0,5.0,18.0,25.0,29.0,4.0,8.0,62.0,13.0,7.0,15.0,22.0,6.0,5.0,0.66,0.72,1.27,1.0,1.0,2.0,36.0,33.0,33.0,13.0,0.33,0.57,0.57,2.4,2.4,2.32,102.29,15.69,9.08,22.51,3.45,53.73,27.53,13.82,15.69,13.82,98.0,34.0,34.0,166.0,15.0,15.0,1.0,22.0,0.0,39.0,41.0,83.0,117.0,2.0,4.0,86.0,7.0,6.0,28.0,76.0,34.0,22.0,2.15,4.24,9.31,2.0,6.0,7.0,166.0,132.0,132.0,3.0,2.39,4.0,4.0,14.08,14.08,13.54
LAK,2025,LAK,LAK,Team Level,5on4,27,0.81,0.84,0.81,8278.0,117.41,11.16,11.47,28.03,4.17,69.96,38.21,10.56,11.16,10.56,112.0,51.0,55.0,218.0,8.0,19.0,0.0,20.0,0.0,59.0,57.0,104.0,155.0,4.0,8.0,82.0,3.0,7.0,34.0,121.0,29.0,13.0,2.63,3.66,4.87,2.0,1.0,5.0,218.0,163.0,163.0,3.0,3.06,1.66,1.66,12.56,12.56,11.97,27.28,2.56,1.23,4.11,0.87,8.73,19.5,2.53,2.56,2.53,25.0,12.0,4.0,41.0,3.0,4.0,1.0,6.0,0.0,4.0,20.0,22.0,34.0,4.0,10.0,61.0,15.0,15.0,24.0,27.0,8.0,2.0,0.94,0.93,0.7,2.0,1.0,0.0,41.0,37.0,37.0,20.0,0.28,0.22,0.22,2.61,2.61,2.6
SEA,2025,SEA,SEA,Team Level,other,25,0.56,0.49,0.51,3022.0,50.07,10.52,3.35,8.97,1.6,25.55,19.01,10.05,10.52,10.05,49.0,20.0,18.0,87.0,11.0,3.0,2.0,13.0,0.0,21.0,21.0,38.0,58.0,1.0,2.0,37.0,7.0,6.0,10.0,34.0,24.0,11.0,1.35,3.06,6.12,3.0,3.0,5.0,87.0,69.0,69.0,4.0,0.92,0.56,0.56,10.88,10.88,10.41,46.15,8.11,3.44,9.16,1.74,25.47,17.08,7.66,8.11,7.66,34.0,31.0,26.0,91.0,8.0,6.0,2.0,3.0,0.0,30.0,18.0,26.0,57.0,1.0,2.0,43.0,7.0,5.0,15.0,33.0,18.0,14.0,1.33,2.02,4.75,2.0,1.0,5.0,91.0,65.0,65.0,5.0,1.01,1.29,1.29,7.83,7.83,7.52
SEA,2025,SEA,SEA,Team Level,all,25,0.47,0.47,0.47,92160.0,695.15,69.47,47.9,168.91,23.22,380.36,269.15,66.76,69.24,66.55,617.0,342.0,388.0,1347.0,63.0,59.0,12.0,144.0,0.0,322.0,371.0,554.0,896.0,77.0,171.0,627.0,474.0,114.0,406.0,701.0,187.0,71.0,20.28,23.23,25.96,23.0,21.0,19.0,1336.38,959.0,955.37,183.0,10.76,15.13,15.13,65.09,65.0,63.57,784.24,76.98,53.47,190.85,26.2,429.85,305.66,73.96,77.44,74.4,690.0,393.0,419.0,1502.0,72.0,77.0,7.0,158.0,1.0,394.0,381.0,618.0,1011.0,80.0,177.0,746.0,501.0,105.0,409.0,792.0,196.0,95.0,22.18,24.21,30.59,22.0,23.0,27.0,1518.43,1083.0,1092.59,158.0,11.81,14.35,14.35,74.44,74.85,73.09
SEA,2025,SEA,SEA,Team Level,5on5,25,0.44,0.46,0.46,75894.0,523.33,42.6,33.22,134.44,17.65,287.27,211.83,41.18,42.37,40.97,461.0,266.0,317.0,1044.0,40.0,39.0,6.0,110.0,0.0,246.0,292.0,421.0,687.0,65.0,144.0,485.0,452.0,98.0,370.0,559.0,130.0,38.0,15.87,16.03,10.7,17.0,16.0,7.0,1033.38,727.0,723.37,171.0,6.89,8.46,8.67,40.81,40.72,40.13,624.73,54.31,40.78,158.45,20.84,341.23,249.38,52.42,54.78,52.85,559.0,306.0,338.0,1203.0,40.0,61.0,3.0,139.0,1.0,307.0,317.0,519.0,825.0,72.0,158.0,571.0,474.0,88.0,365.0,653.0,151.0,61.0,18.07,18.95,17.29,17.0,13.0,10.0,1219.43,865.0,874.59,141.0,8.46,11.61,11.61,51.16,51.57,50.69
SEA,2025,SEA,SEA,Team Level,4on5,25,0.05,0.04,0.06,5950.0,6.21,0.65,0.32,0.88,0.17,1.91,4.09,0.64,0.65,0.64,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,8.0,2.0,4.0,34.0,12.0,4.0,9.0,5.0,2.0,1.0,0.15,0.28,0.21,0.0,0.0,0.0,8.0,8.0,8.0,6.0,0.07,0.0,0.0,0.72,0.72,0.72,99.84,12.98,8.61,21.27,3.21,59.33,30.61,12.38,12.98,12.38,85.0,51.0,52.0,188.0,22.0,9.0,1.0,15.0,0.0,53.0,37.0,63.0,114.0,4.0,8.0,74.0,2.0,3.0,16.0,94.0,26.0,16.0,2.44,3.08,7.46,3.0,9.0,10.0,188.0,136.0,136.0,1.0,2.2,1.23,1.23,13.94,13.94,13.38
SEA,2025,SEA,SEA,Team Level,5on4,25,0.91,0.91,0.9,7294.0,115.54,15.7,11.01,24.62,3.81,65.63,34.23,14.88,15.7,14.88,99.0,56.0,53.0,208.0,12.0,17.0,4.0,21.0,0.0,53.0,52.0,87.0,143.0,9.0,21.0,71.0,3.0,6.0,17.0,103.0,31.0,21.0,2.9,3.86,8.94,3.0,2.0,7.0,208.0,155.0,155.0,2.0,2.87,6.12,5.9,12.67,12.67,12.32,13.53,1.58,0.65,1.97,0.4,3.82,8.59,1.51,1.58,1.51,12.0,5.0,3.0,20.0,2.0,1.0,1.0,1.0,0.0,4.0,9.0,10.0,15.0,3.0,9.0,58.0,18.0,9.0,13.0,12.0,1.0,4.0,0.34,0.15,1.09,0.0,0.0,2.0,20.0,17.0,17.0,11.0,0.15,0.22,0.22,1.51,1.51,1.5
