"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"23","San Jose Sharks","10","468.7","7","2","1","6","15","0.750","390","499","43.87","243","357","40.50","163","233","41.16","17","14","54.84","14.77","19.52","43.08","168","209","44.56","89","108","45.18","14","10","58.33","15.73","90.74","69","90","43.40","48","53","47.52","8","7","53.33","16.67","86.79","99","119","45.41","41","55","42.71","6","3","66.67","14.63","94.55","222","322","40.81","65","112","36.72","3","4","42.86","4.62","96.43","10.43","93.99","1.044"
"24","Seattle Kraken","10","483.9333","5","3","2","5","12","0.600","403","446","47.47","286","325","46.81","183","205","47.16","16","15","51.61","15.79","19.92","44.21","166","193","46.24","85","102","45.45","11","12","47.83","12.94","88.24","63","84","42.86","44","51","46.32","7","7","50.00","15.91","86.27","103","109","48.58","41","51","44.57","4","5","44.44","9.76","90.20","261","277","48.51","87","93","48.33","5","3","62.50","5.75","96.77","8.74","92.68","1.014"
"25","St Louis Blues","10","514.5167","3","3","4","3","10","0.500","415","530","43.92","304","368","45.24","205","253","44.76","17","23","42.50","18.19","21.87","45.40","196","225","46.56","104","118","46.85","12","15","44.44","11.54","87.29","76","80","48.72","49","49","50.00","4","6","40.00","8.16","87.76","120","145","45.28","55","69","44.35","8","9","47.06","14.55","86.96","238","332","41.75","89","122","42.18","5","8","38.46","5.62","93.44","8.29","90.91","0.992"
"26","Tampa Bay Lightning","10","469.1167","7","3","0","7","14","0.700","446","408","52.22","336","289","53.76","203","196","50.88","20","19","51.28","23.23","17.24","57.40","215","179","54.57","103","101","50.49","17","16","51.52","16.50","84.16","94","69","57.67","50","49","50.51","9","9","50.00","18.00","81.63","121","110","52.38","53","52","50.48","8","7","53.33","15.09","86.54","255","248","50.70","93","83","52.84","3","3","50.00","3.23","96.39","9.85","90.31","1.002"
"27","Toronto Maple Leafs","10","478.6833","4","4","2","4","10","0.500","402","523","43.46","306","385","44.28","203","250","44.81","26","25","50.98","19.93","22.43","47.05","202","244","45.29","113","130","46.50","21","21","50.00","18.58","83.85","82","95","46.33","57","65","46.72","14","13","51.85","24.56","80.00","120","149","44.61","56","65","46.28","7","8","46.67","12.50","87.69","235","305","43.52","72","111","39.34","5","4","55.56","6.94","96.40","12.81","90.00","1.028"
"28","Utah Mammoth","10","491.7833","2","5","3","2","7","0.350","488","387","55.77","343","286","54.53","224","185","54.77","19","28","40.43","22.16","19.75","52.87","221","202","52.25","111","114","49.33","14","26","35.00","12.61","77.19","89","83","51.74","55","52","51.40","9","15","37.50","16.36","71.15","132","119","52.59","56","62","47.46","5","11","31.25","8.93","82.26","298","205","59.24","102","61","62.58","5","2","71.43","4.90","96.72","8.48","84.86","0.933"
"29","Vancouver Canucks","10","481.0667","3","5","2","3","8","0.400","432","534","44.72","329","378","46.53","207","251","45.20","19","28","40.43","20.95","26.24","44.40","201","242","45.37","103","126","44.98","19","24","44.19","18.45","80.95","82","126","39.42","55","81","40.44","10","14","41.67","18.18","82.72","119","116","50.64","48","45","51.61","9","10","47.37","18.75","77.78","257","329","43.86","96","118","44.86","0","4","0.00","0.00","96.61","9.18","88.84","0.980"
"30","Vegas Golden Knights","10","491.1167","4","3","3","4","11","0.550","488","447","52.19","354","315","52.91","239","182","56.77","19","16","54.29","22.42","19.35","53.68","220","196","52.88","128","87","59.53","16","12","57.14","12.50","86.21","90","71","55.90","63","43","59.43","8","9","47.06","12.70","79.07","130","125","50.98","65","44","59.63","8","3","72.73","12.31","93.18","298","257","53.69","92","89","50.83","3","4","42.86","3.26","95.51","7.95","91.21","0.992"
"31","Winnipeg Jets","10","489.5333","5","5","0","4","10","0.500","453","479","48.61","337","341","49.71","212","215","49.65","22","19","53.66","20.49","22.33","47.86","202","227","47.09","105","107","49.53","16","17","48.48","15.24","84.11","90","98","47.87","54","58","48.21","9","13","40.91","16.67","77.59","112","129","46.47","51","49","51.00","7","4","63.64","13.73","91.84","295","274","51.85","99","102","49.25","6","2","75.00","6.06","98.04","10.38","91.16","1.015"
"32","Washington Capitals","10","479.5333","5","3","2","5","12","0.600","517","458","53.03","373","312","54.45","243","203","54.48","31","17","64.58","25.55","20.73","55.20","248","223","52.65","134","105","56.07","26","13","66.67","19.40","87.62","115","90","56.10","76","50","60.32","19","5","79.17","25.00","90.00","133","133","50.00","58","55","51.33","7","8","46.67","12.07","85.45","290","251","53.60","100","89","52.91","5","4","55.56","5.00","95.51","12.76","91.63","1.044"
